time,Unpolarized_A_Green,Unpolarized_A_Red,Unpolarized_A_IR,Unpolarized_B_Green,Unpolarized_B_Red,Unpolarized_B_IR,Co-Polarized_Green,Co-Polarized_Red,Co-Polarized_IR,Cross-Polarized_Green,Cross-Polarized_Red,Cross-Polarized_IR,Day,SkinTone,Speed,Depth,Experiment
2025-10-23T01:26:12.468Z,31,760,1473,251,974,1709,3486,3095,10231,4030,4707,15433,Day_1,Dark,Fast,2.5mm,Experiment_2
2025-10-23T01:26:12.508Z,25,750,1464,246,960,1697,3466,3080,10136,3976,4613,15141,Day_1,Dark,Fast,2.5mm,Experiment_2
2025-10-23T01:26:12.548Z,19,751,1454,240,962,1688,3453,3065,10114,3946,4566,15014,Day_1,Dark,Fast,2.5mm,Experiment_2
2025-10-23T01:26:12.588Z,17,765,1450,237,977,1687,3455,3064,10176,3964,4610,15153,Day_1,Dark,Fast,2.5mm,Experiment_2
2025-10-23T01:26:12.628Z,21,779,1454,240,991,1692,3469,3077,10253,4005,4688,15381,Day_1,Dark,Fast,2.5mm,Experiment_2
2025-10-23T01:26:12.668Z,27,779,1461,246,991,1698,3482,3091,10292,4034,4731,15506,Day_1,Dark,Fast,2.5mm,Experiment_2
2025-10-23T01:26:12.708Z,31,770,1465,250,982,1702,3487,3099,10304,4045,4741,15538,Day_1,Dark,Fast,2.5mm,Experiment_2
2025-10-23T01:26:12.748Z,31,761,1467,253,976,1705,3488,3108,10319,4055,4756,15579,Day_1,Dark,Fast,2.5mm,Experiment_2
2025-10-23T01:26:12.788Z,29,761,1471,253,978,1710,3488,3115,10344,4069,4787,15661,Day_1,Dark,Fast,2.5mm,Experiment_2
2025-10-23T01:26:12.828Z,30,771,1478,255,989,1716,3483,3109,10363,4077,4809,15731,Day_1,Dark,Fast,2.5mm,Experiment_2
2025-10-23T01:26:12.868Z,33,785,1483,257,1002,1718,3470,3092,10356,4066,4797,15719,Day_1,Dark,Fast,2.5mm,Experiment_2
2025-10-23T01:26:12.908Z,35,790,1481,256,1004,1710,3455,3072,10297,4034,4736,15553,Day_1,Dark,Fast,2.5mm,Experiment_2
2025-10-23T01:26:12.948Z,34,783,1469,251,992,1694,3442,3055,10180,3987,4634,15233,Day_1,Dark,Fast,2.5mm,Experiment_2
2025-10-23T01:26:12.988Z,29,774,1457,244,979,1681,3434,3046,10084,3951,4555,14973,Day_1,Dark,Fast,2.5mm,Experiment_2
2025-10-23T01:26:13.028Z,26,772,1452,241,978,1680,3438,3051,10101,3957,4568,15007,Day_1,Dark,Fast,2.5mm,Experiment_2
2025-10-23T01:26:13.068Z,29,776,1456,248,983,1687,3458,3067,10200,3992,4641,15235,Day_1,Dark,Fast,2.5mm,Experiment_2
2025-10-23T01:26:13.108Z,31,776,1464,256,982,1693,3483,3074,10276,4021,4691,15397,Day_1,Dark,Fast,2.5mm,Experiment_2
2025-10-23T01:26:13.148Z,25,774,1468,256,979,1695,3496,3064,10291,4031,4697,15433,Day_1,Dark,Fast,2.5mm,Experiment_2
2025-10-23T01:26:13.188Z,16,775,1469,251,980,1699,3493,3061,10296,4038,4707,15473,Day_1,Dark,Fast,2.5mm,Experiment_2
2025-10-23T01:26:13.228Z,12,775,1469,246,984,1705,3491,3079,10334,4054,4748,15589,Day_1,Dark,Fast,2.5mm,Experiment_2
2025-10-23T01:26:13.268Z,14,771,1469,243,981,1709,3503,3107,10378,4074,4791,15701,Day_1,Dark,Fast,2.5mm,Experiment_2
2025-10-23T01:26:13.308Z,22,768,1470,244,977,1710,3516,3124,10388,4078,4802,15725,Day_1,Dark,Fast,2.5mm,Experiment_2
2025-10-23T01:26:13.348Z,32,770,1471,248,976,1710,3506,3116,10339,4054,4759,15609,Day_1,Dark,Fast,2.5mm,Experiment_2
2025-10-23T01:26:13.388Z,38,772,1468,250,979,1703,3481,3084,10235,4009,4667,15346,Day_1,Dark,Fast,2.5mm,Experiment_2
2025-10-23T01:26:13.428Z,36,771,1458,246,981,1690,3460,3056,10140,3971,4587,15099,Day_1,Dark,Fast,2.5mm,Experiment_2
2025-10-23T01:26:13.468Z,29,774,1449,241,982,1681,3453,3051,10125,3969,4579,15067,Day_1,Dark,Fast,2.5mm,Experiment_2
2025-10-23T01:26:13.508Z,28,781,1452,243,986,1684,3462,3054,10174,3996,4624,15211,Day_1,Dark,Fast,2.5mm,Experiment_2
2025-10-23T01:26:13.548Z,32,788,1459,252,993,1693,3478,3054,10232,4026,4671,15373,Day_1,Dark,Fast,2.5mm,Experiment_2
2025-10-23T01:26:13.588Z,37,793,1462,257,1000,1697,3487,3056,10276,4042,4703,15478,Day_1,Dark,Fast,2.5mm,Experiment_2
2025-10-23T01:26:13.628Z,38,793,1464,258,1004,1699,3488,3064,10315,4051,4730,15563,Day_1,Dark,Fast,2.5mm,Experiment_2
2025-10-23T01:26:13.668Z,34,789,1472,256,1004,1704,3490,3078,10356,4062,4766,15666,Day_1,Dark,Fast,2.5mm,Experiment_2
2025-10-23T01:26:13.708Z,27,783,1480,254,1000,1710,3494,3089,10376,4073,4794,15741,Day_1,Dark,Fast,2.5mm,Experiment_2
2025-10-23T01:26:13.748Z,26,779,1478,255,996,1708,3496,3083,10356,4071,4790,15733,Day_1,Dark,Fast,2.5mm,Experiment_2
2025-10-23T01:26:13.788Z,29,782,1469,256,995,1699,3494,3059,10292,4052,4743,15602,Day_1,Dark,Fast,2.5mm,Experiment_2
