time,Unpolarized_A_Green,Unpolarized_A_Red,Unpolarized_A_IR,Unpolarized_B_Green,Unpolarized_B_Red,Unpolarized_B_IR,Co-Polarized_Green,Co-Polarized_Red,Co-Polarized_IR,Cross-Polarized_Green,Cross-Polarized_Red,Cross-Polarized_IR,Day,SkinTone,Speed,Depth,Experiment
2025-10-23T03:08:09.579Z,11,797,1242,232,894,1380,4214,3694,11702,3022,2991,9622,Day_1,Dark,Fast,5mm,Experiment_2
2025-10-23T03:08:09.619Z,6,803,1245,225,892,1383,4222,3677,11700,3031,2983,9621,Day_1,Dark,Fast,5mm,Experiment_2
2025-10-23T03:08:09.659Z,5,806,1242,224,891,1381,4229,3663,11715,3037,2987,9634,Day_1,Dark,Fast,5mm,Experiment_2
2025-10-23T03:08:09.699Z,8,804,1240,230,889,1378,4230,3656,11731,3034,2994,9647,Day_1,Dark,Fast,5mm,Experiment_2
2025-10-23T03:08:09.740Z,13,802,1240,239,890,1378,4218,3653,11737,3020,2994,9645,Day_1,Dark,Fast,5mm,Experiment_2
2025-10-23T03:08:09.780Z,16,811,1243,246,896,1380,4199,3654,11732,3006,2985,9629,Day_1,Dark,Fast,5mm,Experiment_2
2025-10-23T03:08:09.820Z,18,824,1244,250,904,1381,4186,3657,11716,2994,2972,9602,Day_1,Dark,Fast,5mm,Experiment_2
2025-10-23T03:08:09.860Z,21,826,1241,253,908,1378,4184,3654,11693,2983,2960,9571,Day_1,Dark,Fast,5mm,Experiment_2
2025-10-23T03:08:09.900Z,24,821,1237,255,906,1376,4194,3642,11686,2981,2955,9560,Day_1,Dark,Fast,5mm,Experiment_2
2025-10-23T03:08:09.940Z,25,818,1235,255,906,1377,4207,3630,11712,2989,2955,9581,Day_1,Dark,Fast,5mm,Experiment_2
2025-10-23T03:08:09.980Z,22,820,1232,249,906,1376,4215,3624,11748,2998,2958,9607,Day_1,Dark,Fast,5mm,Experiment_2
2025-10-23T03:08:10.020Z,19,821,1226,245,904,1369,4219,3625,11766,3001,2961,9614,Day_1,Dark,Fast,5mm,Experiment_2
2025-10-23T03:08:10.060Z,23,819,1221,249,901,1361,4215,3629,11767,3001,2965,9610,Day_1,Dark,Fast,5mm,Experiment_2
2025-10-23T03:08:10.099Z,31,817,1222,258,902,1362,4205,3631,11761,3003,2973,9612,Day_1,Dark,Fast,5mm,Experiment_2
2025-10-23T03:08:10.139Z,37,810,1229,261,901,1372,4199,3629,11759,3010,2978,9623,Day_1,Dark,Fast,5mm,Experiment_2
2025-10-23T03:08:10.179Z,32,802,1237,255,898,1382,4198,3636,11762,3016,2982,9630,Day_1,Dark,Fast,5mm,Experiment_2
2025-10-23T03:08:10.219Z,23,797,1241,245,894,1385,4193,3654,11756,3013,2989,9621,Day_1,Dark,Fast,5mm,Experiment_2
2025-10-23T03:08:10.259Z,20,795,1242,244,890,1382,4183,3659,11722,3003,2987,9582,Day_1,Dark,Fast,5mm,Experiment_2
2025-10-23T03:08:10.299Z,26,793,1243,252,887,1382,4170,3637,11668,2985,2968,9522,Day_1,Dark,Fast,5mm,Experiment_2
2025-10-23T03:08:10.339Z,34,794,1244,260,888,1387,4158,3616,11632,2969,2953,9485,Day_1,Dark,Fast,5mm,Experiment_2
2025-10-23T03:08:10.379Z,37,802,1248,265,893,1393,4158,3615,11642,2968,2960,9501,Day_1,Dark,Fast,5mm,Experiment_2
