time,Unpolarized_A_Green,Unpolarized_A_Red,Unpolarized_A_IR,Unpolarized_B_Green,Unpolarized_B_Red,Unpolarized_B_IR,Co-Polarized_Green,Co-Polarized_Red,Co-Polarized_IR,Cross-Polarized_Green,Cross-Polarized_Red,Cross-Polarized_IR,Day,SkinTone,Speed,Depth,Experiment
2025-10-23T01:17:29.887Z,34,788,1485,257,1003,1715,3507,3112,10455,4100,4845,15846,Day_1,Dark,Intermediate,2.5mm,Experiment_2
2025-10-23T01:17:29.927Z,37,787,1479,261,1003,1708,3503,3106,10434,4093,4833,15794,Day_1,Dark,Intermediate,2.5mm,Experiment_2
2025-10-23T01:17:29.967Z,42,785,1479,263,1005,1709,3504,3106,10409,4092,4823,15765,Day_1,Dark,Intermediate,2.5mm,Experiment_2
2025-10-23T01:17:30.007Z,44,784,1482,262,1007,1713,3511,3110,10419,4101,4834,15824,Day_1,Dark,Intermediate,2.5mm,Experiment_2
2025-10-23T01:17:30.047Z,38,783,1482,259,1007,1718,3511,3118,10458,4112,4862,15939,Day_1,Dark,Intermediate,2.5mm,Experiment_2
2025-10-23T01:17:30.087Z,32,784,1477,257,1009,1723,3502,3122,10488,4114,4888,16027,Day_1,Dark,Intermediate,2.5mm,Experiment_2
2025-10-23T01:17:30.127Z,30,787,1476,259,1012,1728,3493,3119,10507,4112,4905,16072,Day_1,Dark,Intermediate,2.5mm,Experiment_2
2025-10-23T01:17:30.167Z,32,788,1482,264,1015,1733,3496,3117,10529,4113,4916,16107,Day_1,Dark,Intermediate,2.5mm,Experiment_2
2025-10-23T01:17:30.207Z,39,786,1487,268,1013,1735,3512,3120,10548,4121,4923,16141,Day_1,Dark,Intermediate,2.5mm,Experiment_2
2025-10-23T01:17:30.247Z,48,784,1485,272,1009,1734,3523,3123,10555,4130,4921,16165,Day_1,Dark,Intermediate,2.5mm,Experiment_2
2025-10-23T01:20:16.604Z,57,782,1479,277,1005,1727,3518,3115,10535,4128,4904,16151,Day_1,Dark,Intermediate,2.5mm,Experiment_2
