time,Unpolarized_A_Green,Unpolarized_A_Red,Unpolarized_A_IR,Unpolarized_B_Green,Unpolarized_B_Red,Unpolarized_B_IR,Co-Polarized_Green,Co-Polarized_Red,Co-Polarized_IR,Cross-Polarized_Green,Cross-Polarized_Red,Cross-Polarized_IR,Day,SkinTone,Speed,Depth,Experiment
2025-10-23T03:05:04.468Z,31,804,1251,255,895,1395,4247,3674,11819,3053,3034,9750,Day_1,Dark,Intermediate,5mm,Experiment_2
2025-10-23T03:05:04.508Z,24,808,1246,253,897,1395,4246,3657,11783,3045,3012,9707,Day_1,Dark,Intermediate,5mm,Experiment_2
2025-10-23T03:05:04.548Z,18,808,1236,251,894,1391,4232,3636,11767,3038,2995,9691,Day_1,Dark,Intermediate,5mm,Experiment_2
2025-10-23T03:05:04.588Z,20,811,1229,251,893,1389,4210,3631,11783,3037,2999,9718,Day_1,Dark,Intermediate,5mm,Experiment_2
2025-10-23T03:05:04.628Z,24,817,1232,252,896,1389,4192,3646,11818,3043,3021,9766,Day_1,Dark,Intermediate,5mm,Experiment_2
2025-10-23T03:05:04.668Z,23,821,1240,248,899,1390,4190,3672,11857,3053,3045,9804,Day_1,Dark,Intermediate,5mm,Experiment_2
2025-10-23T03:05:04.708Z,19,820,1247,244,899,1392,4209,3697,11889,3066,3059,9818,Day_1,Dark,Intermediate,5mm,Experiment_2
2025-10-23T03:05:04.748Z,16,815,1251,240,898,1394,4237,3712,11908,3076,3063,9822,Day_1,Dark,Intermediate,5mm,Experiment_2
2025-10-23T03:05:04.788Z,12,809,1254,235,896,1395,4256,3711,11920,3084,3066,9834,Day_1,Dark,Intermediate,5mm,Experiment_2
2025-10-23T03:05:04.828Z,12,803,1251,234,890,1391,4261,3700,11923,3089,3070,9850,Day_1,Dark,Intermediate,5mm,Experiment_2
2025-10-23T03:05:04.868Z,17,800,1243,239,886,1386,4259,3687,11917,3091,3075,9853,Day_1,Dark,Intermediate,5mm,Experiment_2
2025-10-23T03:05:04.908Z,24,806,1239,246,889,1383,4259,3678,11907,3089,3073,9847,Day_1,Dark,Intermediate,5mm,Experiment_2
2025-10-23T03:05:04.948Z,28,814,1243,251,896,1384,4262,3673,11902,3086,3066,9840,Day_1,Dark,Intermediate,5mm,Experiment_2
2025-10-23T03:05:04.988Z,29,815,1254,253,899,1387,4262,3676,11890,3080,3057,9824,Day_1,Dark,Intermediate,5mm,Experiment_2
2025-10-23T03:05:05.028Z,28,810,1262,251,895,1390,4251,3685,11859,3066,3046,9784,Day_1,Dark,Intermediate,5mm,Experiment_2
2025-10-23T03:05:05.068Z,26,807,1263,250,894,1391,4220,3688,11807,3044,3032,9724,Day_1,Dark,Intermediate,5mm,Experiment_2
2025-10-23T03:05:05.108Z,25,811,1257,250,897,1392,4176,3684,11763,3026,3020,9685,Day_1,Dark,Intermediate,5mm,Experiment_2
2025-10-23T03:05:05.148Z,21,815,1251,248,900,1392,4138,3681,11758,3026,3020,9700,Day_1,Dark,Intermediate,5mm,Experiment_2
2025-10-23T03:05:05.188Z,18,816,1250,244,900,1390,4128,3689,11789,3038,3030,9749,Day_1,Dark,Intermediate,5mm,Experiment_2
2025-10-23T03:05:05.228Z,15,818,1250,240,901,1388,4149,3709,11822,3047,3044,9787,Day_1,Dark,Intermediate,5mm,Experiment_2
2025-10-23T03:05:05.268Z,14,818,1246,237,902,1385,4190,3731,11843,3056,3058,9797,Day_1,Dark,Intermediate,5mm,Experiment_2
2025-10-23T03:05:05.308Z,17,816,1242,239,900,1382,4232,3738,11855,3064,3068,9791,Day_1,Dark,Intermediate,5mm,Experiment_2
2025-10-23T03:05:05.348Z,23,817,1245,245,901,1384,4254,3725,11865,3064,3069,9788,Day_1,Dark,Intermediate,5mm,Experiment_2
2025-10-23T03:05:05.388Z,26,818,1252,250,904,1392,4243,3710,11866,3055,3067,9795,Day_1,Dark,Intermediate,5mm,Experiment_2
2025-10-23T03:05:05.428Z,27,813,1259,253,903,1397,4212,3703,11862,3045,3070,9805,Day_1,Dark,Intermediate,5mm,Experiment_2
2025-10-23T03:05:05.468Z,25,803,1260,251,897,1397,4196,3711,11868,3044,3077,9816,Day_1,Dark,Intermediate,5mm,Experiment_2
2025-10-23T03:05:05.508Z,22,796,1257,249,891,1392,4204,3735,11885,3052,3087,9822,Day_1,Dark,Intermediate,5mm,Experiment_2
2025-10-23T03:05:05.548Z,22,793,1253,251,888,1389,4220,3760,11885,3059,3098,9809,Day_1,Dark,Intermediate,5mm,Experiment_2
2025-10-23T03:05:05.588Z,27,791,1253,257,885,1391,4222,3768,11845,3056,3098,9764,Day_1,Dark,Intermediate,5mm,Experiment_2
2025-10-23T03:05:05.628Z,31,789,1252,262,882,1394,4211,3743,11784,3044,3075,9701,Day_1,Dark,Intermediate,5mm,Experiment_2
2025-10-23T03:05:05.668Z,30,790,1247,260,883,1396,4204,3693,11746,3035,3040,9662,Day_1,Dark,Intermediate,5mm,Experiment_2
2025-10-23T03:05:05.708Z,27,799,1242,257,888,1396,4212,3658,11758,3038,3020,9679,Day_1,Dark,Intermediate,5mm,Experiment_2
2025-10-23T03:05:05.748Z,28,811,1239,256,897,1393,4229,3659,11804,3050,3028,9734,Day_1,Dark,Intermediate,5mm,Experiment_2
2025-10-23T03:05:05.788Z,30,823,1240,256,908,1391,4244,3674,11848,3060,3045,9787,Day_1,Dark,Intermediate,5mm,Experiment_2
2025-10-23T03:05:05.828Z,26,827,1243,252,913,1391,4249,3674,11869,3064,3051,9809,Day_1,Dark,Intermediate,5mm,Experiment_2
2025-10-23T03:05:05.868Z,19,823,1247,245,911,1390,4240,3664,11865,3059,3046,9803,Day_1,Dark,Intermediate,5mm,Experiment_2
2025-10-23T03:05:05.908Z,14,818,1248,241,906,1386,4222,3664,11854,3048,3043,9787,Day_1,Dark,Intermediate,5mm,Experiment_2
2025-10-23T03:05:05.948Z,13,816,1250,244,904,1384,4210,3668,11853,3043,3045,9786,Day_1,Dark,Intermediate,5mm,Experiment_2
2025-10-23T03:05:05.988Z,16,816,1252,251,902,1384,4213,3664,11862,3048,3045,9802,Day_1,Dark,Intermediate,5mm,Experiment_2
2025-10-23T03:05:06.028Z,18,817,1251,255,900,1386,4221,3659,11870,3058,3047,9818,Day_1,Dark,Intermediate,5mm,Experiment_2
2025-10-23T03:05:06.068Z,18,816,1250,254,896,1390,4233,3667,11877,3066,3056,9826,Day_1,Dark,Intermediate,5mm,Experiment_2
2025-10-23T03:05:06.108Z,16,813,1251,249,891,1395,4243,3684,11881,3070,3065,9826,Day_1,Dark,Intermediate,5mm,Experiment_2
2025-10-23T03:05:06.148Z,15,813,1252,245,890,1395,4241,3693,11873,3064,3064,9815,Day_1,Dark,Intermediate,5mm,Experiment_2
2025-10-23T03:05:06.188Z,17,817,1251,245,897,1392,4228,3685,11848,3051,3046,9785,Day_1,Dark,Intermediate,5mm,Experiment_2
