time,Unpolarized_A_Green,Unpolarized_A_Red,Unpolarized_A_IR,Unpolarized_B_Green,Unpolarized_B_Red,Unpolarized_B_IR,Co-Polarized_Green,Co-Polarized_Red,Co-Polarized_IR,Cross-Polarized_Green,Cross-Polarized_Red,Cross-Polarized_IR,Day,SkinTone,Speed,Depth,Experiment
2025-10-23T01:14:07.556Z,40,769,1456,255,984,1688,3446,3088,10186,3977,4562,15088,Day_1,Dark,Slow,2.5mm,Experiment_2
2025-10-23T01:14:07.596Z,28,778,1460,244,991,1691,3480,3095,10190,3990,4518,15105,Day_1,Dark,Slow,2.5mm,Experiment_2
2025-10-23T01:14:07.636Z,25,788,1474,242,999,1706,3517,3107,10248,4026,4551,15282,Day_1,Dark,Slow,2.5mm,Experiment_2
2025-10-23T01:14:07.676Z,29,792,1490,248,1003,1725,3526,3114,10317,4058,4651,15489,Day_1,Dark,Slow,2.5mm,Experiment_2
2025-10-23T01:14:07.716Z,33,787,1497,255,1001,1734,3517,3119,10379,4083,4759,15682,Day_1,Dark,Slow,2.5mm,Experiment_2
2025-10-23T01:14:07.756Z,32,780,1493,257,1000,1733,3513,3122,10425,4103,4827,15836,Day_1,Dark,Slow,2.5mm,Experiment_2
2025-10-23T01:14:07.796Z,25,778,1486,253,1003,1728,3523,3123,10445,4116,4853,15915,Day_1,Dark,Slow,2.5mm,Experiment_2
2025-10-23T01:14:07.836Z,19,777,1485,246,1003,1727,3536,3122,10442,4120,4854,15911,Day_1,Dark,Slow,2.5mm,Experiment_2
2025-10-23T01:14:07.876Z,20,773,1491,243,997,1731,3543,3118,10424,4119,4845,15870,Day_1,Dark,Slow,2.5mm,Experiment_2
2025-10-23T01:14:07.916Z,28,771,1500,247,992,1736,3543,3115,10419,4120,4845,15865,Day_1,Dark,Slow,2.5mm,Experiment_2
2025-10-23T01:14:07.956Z,38,774,1504,254,994,1737,3541,3113,10440,4129,4866,15936,Day_1,Dark,Slow,2.5mm,Experiment_2
2025-10-23T01:14:07.996Z,44,778,1501,259,1000,1734,3548,3103,10466,4141,4894,16034,Day_1,Dark,Slow,2.5mm,Experiment_2
2025-10-23T01:14:08.036Z,47,780,1497,262,1006,1733,3566,3084,10480,4149,4904,16093,Day_1,Dark,Slow,2.5mm,Experiment_2
2025-10-23T01:14:08.076Z,46,777,1495,264,1008,1735,3577,3083,10494,4149,4906,16111,Day_1,Dark,Slow,2.5mm,Experiment_2
2025-10-23T01:14:08.116Z,41,771,1497,263,1005,1738,3572,3112,10512,4144,4918,16115,Day_1,Dark,Slow,2.5mm,Experiment_2
2025-10-23T01:14:08.156Z,39,768,1503,262,1000,1739,3565,3149,10528,4144,4936,16111,Day_1,Dark,Slow,2.5mm,Experiment_2
2025-10-23T01:14:08.196Z,38,769,1506,263,997,1738,3560,3171,10536,4150,4942,16089,Day_1,Dark,Slow,2.5mm,Experiment_2
2025-10-23T01:14:08.236Z,33,769,1499,260,991,1729,3550,3173,10518,4147,4919,16015,Day_1,Dark,Slow,2.5mm,Experiment_2
2025-10-23T01:14:08.276Z,23,763,1485,252,983,1713,3533,3162,10447,4121,4852,15822,Day_1,Dark,Slow,2.5mm,Experiment_2
2025-10-23T01:14:08.316Z,17,756,1469,244,974,1693,3511,3141,10325,4068,4744,15497,Day_1,Dark,Slow,2.5mm,Experiment_2
2025-10-23T01:14:08.356Z,15,752,1457,238,969,1677,3485,3114,10208,3999,4635,15169,Day_1,Dark,Slow,2.5mm,Experiment_2
2025-10-23T01:14:08.396Z,18,752,1452,238,969,1672,3466,3087,10158,3944,4585,15031,Day_1,Dark,Slow,2.5mm,Experiment_2
2025-10-23T01:14:08.436Z,26,755,1459,244,972,1682,3471,3075,10192,3926,4619,15134,Day_1,Dark,Slow,2.5mm,Experiment_2
2025-10-23T01:14:08.476Z,38,756,1474,256,976,1703,3499,3086,10270,3955,4700,15362,Day_1,Dark,Slow,2.5mm,Experiment_2
2025-10-23T01:14:08.516Z,47,758,1489,268,981,1722,3534,3108,10344,4024,4779,15591,Day_1,Dark,Slow,2.5mm,Experiment_2
2025-10-23T01:14:08.556Z,48,762,1496,272,987,1731,3565,3117,10401,4091,4826,15764,Day_1,Dark,Slow,2.5mm,Experiment_2
2025-10-23T01:14:08.596Z,42,765,1492,270,991,1729,3579,3109,10439,4123,4837,15851,Day_1,Dark,Slow,2.5mm,Experiment_2
2025-10-23T01:14:08.636Z,36,764,1484,267,990,1722,3569,3097,10449,4121,4827,15840,Day_1,Dark,Slow,2.5mm,Experiment_2
2025-10-23T01:14:08.676Z,33,762,1479,263,986,1717,3545,3096,10430,4106,4812,15776,Day_1,Dark,Slow,2.5mm,Experiment_2
2025-10-23T01:14:08.716Z,32,760,1482,259,981,1717,3516,3102,10408,4095,4808,15748,Day_1,Dark,Slow,2.5mm,Experiment_2
2025-10-23T01:14:08.756Z,31,760,1489,258,977,1719,3495,3109,10417,4100,4830,15818,Day_1,Dark,Slow,2.5mm,Experiment_2
2025-10-23T01:14:08.796Z,32,766,1491,260,984,1718,3496,3121,10461,4119,4871,15947,Day_1,Dark,Slow,2.5mm,Experiment_2
2025-10-23T01:14:08.836Z,30,780,1490,258,1001,1716,3516,3134,10507,4140,4907,16042,Day_1,Dark,Slow,2.5mm,Experiment_2
2025-10-23T01:14:08.876Z,29,796,1488,254,1021,1715,3537,3144,10531,4152,4927,16084,Day_1,Dark,Slow,2.5mm,Experiment_2
2025-10-23T01:14:08.916Z,31,811,1486,256,1035,1716,3552,3150,10542,4152,4934,16109,Day_1,Dark,Slow,2.5mm,Experiment_2
2025-10-23T01:14:08.956Z,38,816,1485,263,1037,1720,3559,3149,10543,4151,4932,16126,Day_1,Dark,Slow,2.5mm,Experiment_2
2025-10-23T01:14:08.996Z,46,803,1484,271,1025,1724,3561,3146,10532,4154,4926,16128,Day_1,Dark,Slow,2.5mm,Experiment_2
2025-10-23T01:14:09.036Z,55,779,1484,278,1006,1727,3560,3141,10511,4155,4916,16102,Day_1,Dark,Slow,2.5mm,Experiment_2
2025-10-23T01:14:09.076Z,59,765,1484,279,993,1726,3555,3127,10474,4141,4887,16008,Day_1,Dark,Slow,2.5mm,Experiment_2
2025-10-23T01:14:09.116Z,55,766,1484,271,991,1719,3543,3110,10399,4105,4821,15782,Day_1,Dark,Slow,2.5mm,Experiment_2
2025-10-23T01:14:09.156Z,42,773,1479,258,992,1709,3519,3102,10285,4050,4723,15446,Day_1,Dark,Slow,2.5mm,Experiment_2
2025-10-23T01:14:09.196Z,30,779,1470,247,992,1700,3491,3104,10196,4005,4647,15184,Day_1,Dark,Slow,2.5mm,Experiment_2
2025-10-23T01:14:09.236Z,25,783,1459,242,993,1696,3477,3113,10193,3996,4638,15152,Day_1,Dark,Slow,2.5mm,Experiment_2
2025-10-23T01:14:09.276Z,28,782,1455,244,993,1697,3486,3125,10254,4020,4684,15298,Day_1,Dark,Slow,2.5mm,Experiment_2
2025-10-23T01:14:09.316Z,32,780,1459,249,994,1703,3507,3136,10328,4056,4745,15491,Day_1,Dark,Slow,2.5mm,Experiment_2
2025-10-23T01:14:09.356Z,31,776,1469,251,994,1712,3522,3139,10387,4088,4798,15675,Day_1,Dark,Slow,2.5mm,Experiment_2
2025-10-23T01:14:09.396Z,28,768,1477,248,994,1717,3524,3129,10429,4109,4829,15823,Day_1,Dark,Slow,2.5mm,Experiment_2
2025-10-23T01:14:09.436Z,27,760,1477,247,995,1713,3523,3116,10454,4117,4839,15895,Day_1,Dark,Slow,2.5mm,Experiment_2
