time,Unpolarized_A_Green,Unpolarized_A_Red,Unpolarized_A_IR,Unpolarized_B_Green,Unpolarized_B_Red,Unpolarized_B_IR,Co-Polarized_Green,Co-Polarized_Red,Co-Polarized_IR,Cross-Polarized_Green,Cross-Polarized_Red,Cross-Polarized_IR,Day,SkinTone,Speed,Depth,Experiment
2025-10-23T03:00:51.370Z,22,834,1244,250,919,1399,4277,3800,12000,3142,3165,10076,Day_1,Dark,Slow,5mm,Experiment_2
2025-10-23T03:00:51.410Z,24,842,1253,249,925,1404,4295,3806,11989,3149,3159,10070,Day_1,Dark,Slow,5mm,Experiment_2
2025-10-23T03:00:51.450Z,27,837,1262,250,923,1405,4312,3797,11997,3163,3156,10087,Day_1,Dark,Slow,5mm,Experiment_2
2025-10-23T03:00:51.490Z,31,828,1270,253,918,1406,4330,3776,12015,3176,3157,10114,Day_1,Dark,Slow,5mm,Experiment_2
2025-10-23T03:00:51.530Z,35,823,1273,259,917,1406,4356,3749,12025,3186,3155,10125,Day_1,Dark,Slow,5mm,Experiment_2
2025-10-23T03:00:51.570Z,41,822,1264,266,920,1400,4379,3726,12032,3192,3151,10121,Day_1,Dark,Slow,5mm,Experiment_2
2025-10-23T03:00:51.610Z,49,820,1249,273,922,1391,4381,3717,12046,3190,3154,10123,Day_1,Dark,Slow,5mm,Experiment_2
2025-10-23T03:00:51.650Z,58,814,1242,282,917,1387,4362,3720,12059,3179,3161,10131,Day_1,Dark,Slow,5mm,Experiment_2
2025-10-23T03:00:51.690Z,59,804,1247,284,907,1390,4339,3725,12053,3162,3162,10131,Day_1,Dark,Slow,5mm,Experiment_2
2025-10-23T03:00:51.730Z,45,797,1250,273,900,1395,4329,3731,12033,3148,3157,10118,Day_1,Dark,Slow,5mm,Experiment_2
2025-10-23T03:00:51.770Z,26,797,1250,257,896,1395,4334,3735,12010,3145,3152,10094,Day_1,Dark,Slow,5mm,Experiment_2
2025-10-23T03:00:51.810Z,14,802,1251,248,896,1393,4338,3734,11975,3148,3145,10058,Day_1,Dark,Slow,5mm,Experiment_2
2025-10-23T03:00:51.850Z,11,810,1254,249,897,1393,4323,3735,11926,3144,3134,10010,Day_1,Dark,Slow,5mm,Experiment_2
2025-10-23T03:00:51.890Z,14,816,1257,254,899,1396,4294,3736,11879,3131,3123,9965,Day_1,Dark,Slow,5mm,Experiment_2
2025-10-23T03:00:51.930Z,20,818,1260,258,899,1404,4281,3737,11859,3116,3119,9951,Day_1,Dark,Slow,5mm,Experiment_2
2025-10-23T03:00:51.970Z,24,817,1260,254,897,1411,4296,3747,11874,3108,3131,9972,Day_1,Dark,Slow,5mm,Experiment_2
2025-10-23T03:00:52.010Z,21,819,1257,246,897,1411,4312,3761,11909,3112,3150,10007,Day_1,Dark,Slow,5mm,Experiment_2
2025-10-23T03:00:52.050Z,17,819,1252,244,898,1407,4313,3765,11946,3127,3164,10042,Day_1,Dark,Slow,5mm,Experiment_2
2025-10-23T03:00:52.090Z,20,808,1251,253,892,1403,4314,3761,11971,3145,3170,10065,Day_1,Dark,Slow,5mm,Experiment_2
