Participant,Channel,Hardware Channel,Metric,Mean,Std,Day,SkinTone,Speed,Depth,Experiment
Dark_Fast_5mm,Unpolarized_A_Green,C5,PI,-237.39811843432295,79.39314849856855,Day_1,Dark,Fast,5mm,Experiment_2
Dark_Fast_5mm,Unpolarized_A_Red,C2,PI,-147.83954448202547,68.02062608977421,Day_1,Dark,Fast,5mm,Experiment_2
Dark_Fast_5mm,Unpolarized_A_IR,C4,PI,-236.52662808509365,77.37868067051087,Day_1,Dark,Fast,5mm,Experiment_2
Dark_Fast_5mm,Unpolarized_B_Green,C11,PI,-232.25625072725745,25.625583636196183,Day_1,Dark,Fast,5mm,Experiment_2
Dark_Fast_5mm,Unpolarized_B_Red,C8,PI,-233.43895940428956,0.0,Day_1,Dark,Fast,5mm,Experiment_2
Dark_Fast_5mm,Unpolarized_B_IR,C10,PI,-243.2891874132472,0.0,Day_1,Dark,Fast,5mm,Experiment_2
Dark_Fast_5mm,Co-Polarized_Green,C13,PI,-128.60515818476864,302.69879566246266,Day_1,Dark,Fast,5mm,Experiment_2
Dark_Fast_5mm,Co-Polarized_Red,C12,PI,-241.21738875400484,198.88387556182764,Day_1,Dark,Fast,5mm,Experiment_2
Dark_Fast_5mm,Co-Polarized_IR,C15,PI,-185.3806197580369,31.66734121003983,Day_1,Dark,Fast,5mm,Experiment_2
Dark_Fast_5mm,Cross-Polarized_Green,C19,PI,-231.05212695899507,63.84707165941836,Day_1,Dark,Fast,5mm,Experiment_2
Dark_Fast_5mm,Cross-Polarized_Red,C18,PI,-235.86885119628604,95.0478882668621,Day_1,Dark,Fast,5mm,Experiment_2
Dark_Fast_5mm,Cross-Polarized_IR,C21,PI,-212.6885524134113,30.897953782893776,Day_1,Dark,Fast,5mm,Experiment_2
Dark_Intermediate_2.5mm,Unpolarized_A_Green,C5,PI,,,Day_1,Dark,Intermediate,2.5mm,Experiment_2
Dark_Intermediate_2.5mm,Unpolarized_A_Red,C2,PI,-202.01801570713087,58.43457750354327,Day_1,Dark,Intermediate,2.5mm,Experiment_2
Dark_Intermediate_2.5mm,Unpolarized_A_IR,C4,PI,-270.6684754298477,188.6793659613874,Day_1,Dark,Intermediate,2.5mm,Experiment_2
