time,Unpolarized_A_Green,Unpolarized_A_Red,Unpolarized_A_IR,Unpolarized_B_Green,Unpolarized_B_Red,Unpolarized_B_IR,Co-Polarized_Green,Co-Polarized_Red,Co-Polarized_IR,Cross-Polarized_Green,Cross-Polarized_Red,Cross-Polarized_IR,Day,SkinTone,Speed,Depth,Experiment
2025-10-23T01:40:12.736Z,1661,4702,17340,2539,6666,21637,4494,6303,24137,3630,6298,24380,Day_1,Fair,Fast,3.75mm,Experiment_2
2025-10-23T01:40:12.776Z,1657,4699,17338,2535,6660,21596,4482,6278,24085,3615,6242,24178,Day_1,Fair,Fast,3.75mm,Experiment_2
2025-10-23T01:40:12.816Z,1654,4692,17323,2531,6656,21588,4490,6269,24084,3622,6234,24188,Day_1,Fair,Fast,3.75mm,Experiment_2
2025-10-23T01:40:12.856Z,1656,4687,17305,2531,6657,21612,4506,6272,24121,3641,6267,24364,Day_1,Fair,Fast,3.75mm,Experiment_2
2025-10-23T01:40:12.896Z,1661,4680,17296,2536,6656,21647,4519,6274,24163,3658,6309,24556,Day_1,Fair,Fast,3.75mm,Experiment_2
2025-10-23T01:40:12.936Z,1664,4672,17298,2539,6654,21673,4530,6271,24189,3670,6335,24667,Day_1,Fair,Fast,3.75mm,Experiment_2
2025-10-23T01:40:12.976Z,1663,4667,17304,2539,6651,21683,4540,6267,24197,3674,6340,24688,Day_1,Fair,Fast,3.75mm,Experiment_2
2025-10-23T01:40:13.016Z,1662,4669,17306,2538,6652,21684,4545,6266,24202,3672,6340,24687,Day_1,Fair,Fast,3.75mm,Experiment_2
2025-10-23T01:40:13.056Z,1664,4678,17307,2540,6658,21689,4542,6265,24223,3670,6348,24729,Day_1,Fair,Fast,3.75mm,Experiment_2
2025-10-23T01:41:54.577Z,1667,4691,17311,2543,6665,21700,4539,6268,24261,3672,6361,24801,Day_1,Fair,Fast,3.75mm,Experiment_2
2025-10-23T01:41:54.617Z,1672,4698,17316,2547,6668,21708,4536,6285,24305,3674,6378,24860,Day_1,Fair,Fast,3.75mm,Experiment_2
2025-10-23T01:41:54.657Z,1677,4698,17320,2552,6668,21709,4530,6307,24340,3672,6394,24885,Day_1,Fair,Fast,3.75mm,Experiment_2
2025-10-23T01:41:54.697Z,1676,4697,17323,2550,6670,21701,4526,6314,24349,3668,6396,24855,Day_1,Fair,Fast,3.75mm,Experiment_2
2025-10-23T01:41:54.737Z,1671,4698,17331,2545,6672,21682,4520,6299,24311,3657,6367,24730,Day_1,Fair,Fast,3.75mm,Experiment_2
2025-10-23T01:41:54.777Z,1671,4699,17341,2543,6672,21654,4502,6275,24231,3633,6308,24503,Day_1,Fair,Fast,3.75mm,Experiment_2
2025-10-23T01:41:54.817Z,1673,4696,17340,2541,6665,21627,4480,6256,24143,3608,6251,24290,Day_1,Fair,Fast,3.75mm,Experiment_2
2025-10-23T01:41:54.857Z,1669,4691,17323,2535,6658,21612,4469,6254,24102,3601,6236,24229,Day_1,Fair,Fast,3.75mm,Experiment_2
2025-10-23T01:41:54.897Z,1665,4692,17307,2533,6659,21614,4466,6259,24119,3608,6248,24299,Day_1,Fair,Fast,3.75mm,Experiment_2
2025-10-23T01:41:54.937Z,1665,4700,17304,2536,6669,21625,4461,6244,24148,3613,6249,24378,Day_1,Fair,Fast,3.75mm,Experiment_2
2025-10-23T01:41:54.977Z,1665,4704,17314,2541,6677,21643,4459,6218,24157,3616,6243,24432,Day_1,Fair,Fast,3.75mm,Experiment_2
2025-10-23T01:41:55.017Z,1668,4698,17325,2548,6676,21665,4470,6213,24156,3624,6258,24498,Day_1,Fair,Fast,3.75mm,Experiment_2
2025-10-23T01:41:55.057Z,1674,4693,17329,2558,6673,21683,4485,6227,24152,3629,6281,24555,Day_1,Fair,Fast,3.75mm,Experiment_2
2025-10-23T01:41:55.097Z,1676,4694,17329,2563,6672,21689,4494,6247,24152,3628,6294,24571,Day_1,Fair,Fast,3.75mm,Experiment_2
2025-10-23T01:41:55.137Z,1671,4690,17331,2559,6663,21691,4508,6264,24178,3634,6306,24593,Day_1,Fair,Fast,3.75mm,Experiment_2
2025-10-23T01:41:55.177Z,1664,4679,17338,2551,6650,21699,4531,6267,24227,3653,6320,24660,Day_1,Fair,Fast,3.75mm,Experiment_2
2025-10-23T01:41:55.217Z,1661,4675,17344,2546,6646,21708,4554,6256,24268,3672,6331,24725,Day_1,Fair,Fast,3.75mm,Experiment_2
2025-10-23T01:41:55.257Z,1661,4680,17344,2542,6654,21705,4560,6248,24285,3676,6338,24729,Day_1,Fair,Fast,3.75mm,Experiment_2
2025-10-23T01:41:55.297Z,1659,4689,17340,2536,6665,21680,4543,6247,24266,3662,6340,24627,Day_1,Fair,Fast,3.75mm,Experiment_2
2025-10-23T01:41:55.337Z,1658,4693,17341,2532,6667,21639,4512,6248,24197,3636,6333,24411,Day_1,Fair,Fast,3.75mm,Experiment_2
2025-10-23T01:41:55.377Z,1657,4692,17343,2531,6663,21611,4485,6246,24111,3613,6313,24225,Day_1,Fair,Fast,3.75mm,Experiment_2
2025-10-23T01:41:55.417Z,1658,4692,17334,2536,6666,21620,4479,6240,24073,3609,6290,24240,Day_1,Fair,Fast,3.75mm,Experiment_2
2025-10-23T01:41:55.457Z,1660,4696,17321,2542,6674,21647,4491,6229,24094,3622,6281,24393,Day_1,Fair,Fast,3.75mm,Experiment_2
2025-10-23T01:41:55.497Z,1660,4700,17317,2544,6678,21663,4505,6220,24129,3636,6284,24506,Day_1,Fair,Fast,3.75mm,Experiment_2
2025-10-23T01:41:55.537Z,1658,4702,17325,2540,6677,21671,4514,6223,24157,3643,6288,24541,Day_1,Fair,Fast,3.75mm,Experiment_2
2025-10-23T01:41:55.577Z,1657,4702,17339,2534,6678,21687,4518,6241,24192,3647,6301,24581,Day_1,Fair,Fast,3.75mm,Experiment_2
2025-10-23T01:41:55.617Z,1658,4699,17350,2530,6679,21710,4519,6266,24248,3653,6324,24668,Day_1,Fair,Fast,3.75mm,Experiment_2
