time,Unpolarized_A_Green,Unpolarized_A_Red,Unpolarized_A_IR,Unpolarized_B_Green,Unpolarized_B_Red,Unpolarized_B_IR,Co-Polarized_Green,Co-Polarized_Red,Co-Polarized_IR,Cross-Polarized_Green,Cross-Polarized_Red,Cross-Polarized_IR,Day,SkinTone,Speed,Depth,Experiment
2025-10-23T02:43:58.429Z,2463,6249,22904,3581,8465,28041,5386,8104,34187,4334,7733,31047,Day_1,Fair,Fast,5mm,Experiment_2
2025-10-23T02:43:58.469Z,2474,6252,22907,3592,8468,28038,5380,8093,34177,4334,7728,31046,Day_1,Fair,Fast,5mm,Experiment_2
2025-10-23T02:43:58.509Z,2478,6253,22904,3598,8468,28032,5373,8091,34174,4332,7729,31044,Day_1,Fair,Fast,5mm,Experiment_2
2025-10-23T02:43:58.549Z,2471,6253,22895,3593,8467,28024,5373,8096,34177,4330,7735,31044,Day_1,Fair,Fast,5mm,Experiment_2
2025-10-23T02:43:58.589Z,2458,6257,22886,3582,8471,28019,5379,8100,34189,4328,7741,31045,Day_1,Fair,Fast,5mm,Experiment_2
2025-10-23T02:43:58.629Z,2447,6267,22881,3573,8481,28020,5384,8097,34204,4329,7741,31047,Day_1,Fair,Fast,5mm,Experiment_2
2025-10-23T02:43:58.669Z,2442,6274,22882,3567,8487,28023,5388,8091,34224,4333,7738,31052,Day_1,Fair,Fast,5mm,Experiment_2
2025-10-23T02:43:58.709Z,2442,6270,22885,3565,8483,28027,5393,8085,34248,4339,7736,31060,Day_1,Fair,Fast,5mm,Experiment_2
2025-10-23T02:43:58.749Z,2445,6261,22891,3569,8472,28031,5395,8086,34256,4341,7736,31063,Day_1,Fair,Fast,5mm,Experiment_2
2025-10-23T02:43:58.789Z,2449,6256,22894,3573,8465,28031,5390,8093,34239,4339,7736,31061,Day_1,Fair,Fast,5mm,Experiment_2
2025-10-23T02:43:58.829Z,2448,6255,22895,3573,8462,28032,5375,8097,34216,4329,7732,31059,Day_1,Fair,Fast,5mm,Experiment_2
2025-10-23T02:43:58.869Z,2446,6255,22901,3572,8463,28040,5353,8096,34207,4314,7726,31059,Day_1,Fair,Fast,5mm,Experiment_2
2025-10-23T02:43:58.909Z,2444,6255,22913,3573,8467,28051,5337,8104,34210,4302,7727,31058,Day_1,Fair,Fast,5mm,Experiment_2
2025-10-23T02:43:58.949Z,2443,6255,22920,3574,8470,28057,5344,8123,34218,4304,7736,31059,Day_1,Fair,Fast,5mm,Experiment_2
2025-10-23T02:43:58.989Z,2441,6256,22913,3572,8474,28049,5369,8129,34227,4319,7741,31067,Day_1,Fair,Fast,5mm,Experiment_2
2025-10-23T02:43:59.029Z,2435,6258,22897,3566,8477,28033,5390,8110,34229,4334,7735,31073,Day_1,Fair,Fast,5mm,Experiment_2
2025-10-23T02:43:59.069Z,2426,6257,22885,3558,8475,28020,5393,8087,34224,4341,7727,31067,Day_1,Fair,Fast,5mm,Experiment_2
2025-10-23T02:43:59.109Z,2423,6250,22888,3557,8465,28021,5384,8085,34210,4338,7726,31050,Day_1,Fair,Fast,5mm,Experiment_2
2025-10-23T02:43:59.149Z,2429,6242,22903,3562,8455,28031,5371,8101,34193,4331,7733,31035,Day_1,Fair,Fast,5mm,Experiment_2
2025-10-23T02:43:59.189Z,2439,6239,22914,3566,8452,28038,5370,8109,34181,4328,7737,31031,Day_1,Fair,Fast,5mm,Experiment_2
2025-10-23T02:43:59.229Z,2444,6240,22912,3564,8454,28035,5386,8098,34183,4332,7733,31035,Day_1,Fair,Fast,5mm,Experiment_2
2025-10-23T02:43:59.269Z,2442,6242,22906,3560,8458,28031,5404,8085,34200,4335,7727,31046,Day_1,Fair,Fast,5mm,Experiment_2
2025-10-23T02:43:59.309Z,2433,6246,22907,3556,8464,28035,5410,8087,34218,4331,7725,31060,Day_1,Fair,Fast,5mm,Experiment_2
2025-10-23T02:43:59.349Z,2426,6255,22919,3555,8473,28048,5412,8098,34226,4326,7727,31067,Day_1,Fair,Fast,5mm,Experiment_2
2025-10-23T02:43:59.389Z,2425,6262,22929,3556,8480,28059,5416,8110,34226,4324,7733,31067,Day_1,Fair,Fast,5mm,Experiment_2
2025-10-23T02:43:59.429Z,2427,6259,22926,3556,8478,28057,5417,8116,34228,4326,7741,31068,Day_1,Fair,Fast,5mm,Experiment_2
2025-10-23T02:43:59.469Z,2427,6248,22914,3555,8468,28046,5413,8113,34227,4330,7744,31069,Day_1,Fair,Fast,5mm,Experiment_2
2025-10-23T02:43:59.509Z,2427,6240,22905,3555,8460,28038,5413,8113,34223,4337,7743,31066,Day_1,Fair,Fast,5mm,Experiment_2
2025-10-23T02:43:59.549Z,2429,6244,22903,3557,8464,28036,5423,8123,34226,4343,7745,31064,Day_1,Fair,Fast,5mm,Experiment_2
2025-10-23T02:43:59.589Z,2431,6255,22906,3558,8475,28038,5430,8134,34235,4343,7751,31064,Day_1,Fair,Fast,5mm,Experiment_2
2025-10-23T02:43:59.629Z,2434,6263,22909,3560,8482,28041,5416,8127,34236,4333,7750,31059,Day_1,Fair,Fast,5mm,Experiment_2
2025-10-23T02:43:59.669Z,2442,6262,22909,3564,8481,28041,5392,8108,34229,4324,7743,31051,Day_1,Fair,Fast,5mm,Experiment_2
2025-10-23T02:43:59.709Z,2449,6254,22908,3568,8474,28039,5384,8105,34223,4325,7741,31047,Day_1,Fair,Fast,5mm,Experiment_2
2025-10-23T02:43:59.749Z,2450,6245,22907,3567,8468,28036,5396,8120,34220,4332,7745,31046,Day_1,Fair,Fast,5mm,Experiment_2
2025-10-23T02:43:59.789Z,2446,6242,22907,3561,8467,28034,5408,8133,34222,4336,7747,31047,Day_1,Fair,Fast,5mm,Experiment_2
2025-10-23T02:43:59.829Z,2440,6243,22911,3557,8465,28038,5417,8136,34217,4340,7746,31045,Day_1,Fair,Fast,5mm,Experiment_2
2025-10-23T02:43:59.869Z,2433,6243,22919,3555,8462,28045,5427,8135,34203,4346,7745,31038,Day_1,Fair,Fast,5mm,Experiment_2
2025-10-23T02:43:59.909Z,2429,6245,22922,3556,8461,28048,5426,8138,34195,4348,7750,31037,Day_1,Fair,Fast,5mm,Experiment_2
2025-10-23T02:43:59.950Z,2430,6248,22914,3560,8464,28041,5411,8148,34204,4341,7758,31046,Day_1,Fair,Fast,5mm,Experiment_2
2025-10-23T02:43:59.990Z,2439,6250,22900,3567,8468,28029,5396,8163,34225,4334,7765,31060,Day_1,Fair,Fast,5mm,Experiment_2
2025-10-23T02:44:00.030Z,2449,6253,22887,3575,8472,28018,5392,8175,34244,4331,7767,31070,Day_1,Fair,Fast,5mm,Experiment_2
2025-10-23T02:44:00.070Z,2457,6258,22879,3581,8476,28013,5398,8178,34247,4332,7764,31071,Day_1,Fair,Fast,5mm,Experiment_2
2025-10-23T02:44:00.110Z,2462,6262,22877,3584,8480,28015,5404,8169,34236,4333,7756,31064,Day_1,Fair,Fast,5mm,Experiment_2
2025-10-23T02:44:00.150Z,2458,6260,22881,3582,8480,28023,5398,8150,34221,4328,7747,31053,Day_1,Fair,Fast,5mm,Experiment_2
2025-10-23T02:44:00.190Z,2449,6257,22890,3575,8480,28034,5381,8129,34210,4319,7743,31043,Day_1,Fair,Fast,5mm,Experiment_2
2025-10-23T02:44:00.230Z,2440,6261,22905,3568,8483,28045,5366,8123,34199,4315,7743,31038,Day_1,Fair,Fast,5mm,Experiment_2
2025-10-23T02:44:00.270Z,2433,6266,22917,3561,8487,28053,5363,8131,34187,4318,7745,31037,Day_1,Fair,Fast,5mm,Experiment_2
2025-10-23T02:44:00.309Z,2426,6267,22923,3555,8485,28056,5370,8134,34180,4324,7743,31040,Day_1,Fair,Fast,5mm,Experiment_2
2025-10-23T02:44:00.349Z,2422,6264,22924,3550,8479,28053,5375,8131,34183,4326,7740,31046,Day_1,Fair,Fast,5mm,Experiment_2
2025-10-23T02:44:00.389Z,2422,6264,22918,3546,8476,28044,5376,8131,34196,4326,7741,31054,Day_1,Fair,Fast,5mm,Experiment_2
2025-10-23T02:44:00.429Z,2428,6269,22910,3548,8477,28034,5380,8131,34209,4332,7744,31061,Day_1,Fair,Fast,5mm,Experiment_2
2025-10-23T02:44:00.469Z,2435,6268,22910,3555,8474,28030,5388,8130,34215,4339,7744,31066,Day_1,Fair,Fast,5mm,Experiment_2
2025-10-23T02:44:00.509Z,2435,6260,22918,3558,8468,28032,5389,8132,34218,4340,7746,31068,Day_1,Fair,Fast,5mm,Experiment_2
2025-10-23T02:44:00.549Z,2431,6253,22921,3555,8464,28035,5378,8139,34220,4337,7748,31065,Day_1,Fair,Fast,5mm,Experiment_2
2025-10-23T02:44:00.589Z,2433,6252,22915,3553,8468,28039,5368,8144,34223,4333,7749,31061,Day_1,Fair,Fast,5mm,Experiment_2
2025-10-23T02:44:00.629Z,2442,6257,22911,3560,8475,28045,5369,8136,34225,4329,7744,31059,Day_1,Fair,Fast,5mm,Experiment_2
2025-10-23T02:44:00.669Z,2447,6264,22909,3567,8479,28044,5381,8116,34233,4328,7736,31065,Day_1,Fair,Fast,5mm,Experiment_2
2025-10-23T02:44:00.709Z,2442,6266,22910,3565,8477,28039,5395,8098,34247,4330,7729,31070,Day_1,Fair,Fast,5mm,Experiment_2
2025-10-23T02:44:00.749Z,2436,6259,22912,3560,8470,28034,5402,8092,34255,4333,7728,31069,Day_1,Fair,Fast,5mm,Experiment_2
2025-10-23T02:44:00.789Z,2435,6245,22910,3558,8459,28031,5404,8095,34251,4335,7729,31065,Day_1,Fair,Fast,5mm,Experiment_2
2025-10-23T02:44:00.829Z,2433,6235,22904,3557,8452,28030,5405,8096,34242,4337,7728,31062,Day_1,Fair,Fast,5mm,Experiment_2
2025-10-23T02:44:00.869Z,2427,6237,22898,3554,8457,28033,5405,8094,34243,4337,7724,31066,Day_1,Fair,Fast,5mm,Experiment_2
2025-10-23T02:44:00.909Z,2420,6247,22895,3548,8469,28038,5407,8094,34248,4337,7723,31076,Day_1,Fair,Fast,5mm,Experiment_2
2025-10-23T02:44:00.949Z,2419,6253,22896,3544,8477,28043,5414,8097,34242,4341,7726,31081,Day_1,Fair,Fast,5mm,Experiment_2
2025-10-23T02:44:00.989Z,2426,6254,22898,3547,8477,28048,5413,8104,34233,4344,7732,31083,Day_1,Fair,Fast,5mm,Experiment_2
2025-10-23T02:44:01.030Z,2437,6253,22901,3556,8474,28047,5401,8115,34237,4344,7740,31089,Day_1,Fair,Fast,5mm,Experiment_2
2025-10-23T02:44:01.070Z,2445,6251,22907,3564,8471,28044,5393,8117,34244,4342,7746,31089,Day_1,Fair,Fast,5mm,Experiment_2
2025-10-23T02:44:01.110Z,2450,6248,22914,3570,8470,28044,5399,8108,34238,4340,7746,31076,Day_1,Fair,Fast,5mm,Experiment_2
2025-10-23T02:44:01.150Z,2452,6246,22919,3574,8470,28047,5404,8099,34230,4336,7744,31061,Day_1,Fair,Fast,5mm,Experiment_2
2025-10-23T02:44:01.190Z,2451,6248,22918,3575,8469,28048,5398,8098,34234,4325,7746,31056,Day_1,Fair,Fast,5mm,Experiment_2
2025-10-23T02:44:01.230Z,2446,6252,22912,3570,8469,28042,5384,8101,34241,4316,7747,31057,Day_1,Fair,Fast,5mm,Experiment_2
2025-10-23T02:44:01.270Z,2437,6255,22907,3560,8469,28035,5380,8097,34241,4314,7742,31061,Day_1,Fair,Fast,5mm,Experiment_2
2025-10-23T02:44:01.310Z,2430,6253,22904,3552,8469,28033,5382,8089,34232,4318,7735,31065,Day_1,Fair,Fast,5mm,Experiment_2
2025-10-23T02:44:01.350Z,2425,6251,22903,3548,8469,28034,5378,8094,34216,4322,7734,31064,Day_1,Fair,Fast,5mm,Experiment_2
2025-10-23T02:44:01.390Z,2422,6254,22901,3543,8471,28033,5372,8109,34201,4326,7741,31062,Day_1,Fair,Fast,5mm,Experiment_2
2025-10-23T02:44:01.430Z,2421,6260,22894,3540,8477,28030,5368,8117,34197,4330,7745,31065,Day_1,Fair,Fast,5mm,Experiment_2
2025-10-23T02:44:01.470Z,2422,6268,22888,3541,8484,28031,5363,8109,34194,4328,7739,31066,Day_1,Fair,Fast,5mm,Experiment_2
2025-10-23T02:44:01.510Z,2424,6272,22893,3543,8490,28038,5363,8093,34187,4324,7728,31061,Day_1,Fair,Fast,5mm,Experiment_2
2025-10-23T02:44:01.550Z,2424,6272,22904,3544,8491,28045,5372,8087,34192,4322,7725,31059,Day_1,Fair,Fast,5mm,Experiment_2
2025-10-23T02:44:01.590Z,2428,6270,22913,3548,8491,28046,5389,8093,34204,4326,7732,31062,Day_1,Fair,Fast,5mm,Experiment_2
2025-10-23T02:44:01.630Z,2438,6263,22917,3556,8487,28045,5407,8102,34210,4335,7741,31063,Day_1,Fair,Fast,5mm,Experiment_2
2025-10-23T02:44:01.670Z,2445,6255,22920,3563,8479,28048,5412,8117,34213,4340,7747,31059,Day_1,Fair,Fast,5mm,Experiment_2
2025-10-23T02:44:01.710Z,2444,6250,22917,3563,8475,28045,5392,8136,34223,4332,7754,31058,Day_1,Fair,Fast,5mm,Experiment_2
2025-10-23T02:44:01.750Z,2439,6248,22907,3561,8472,28034,5359,8149,34223,4315,7759,31060,Day_1,Fair,Fast,5mm,Experiment_2
2025-10-23T02:44:01.790Z,2437,6245,22899,3560,8468,28025,5337,8152,34211,4303,7760,31062,Day_1,Fair,Fast,5mm,Experiment_2
2025-10-23T02:44:01.830Z,2439,6245,22895,3559,8467,28021,5345,8145,34200,4306,7754,31060,Day_1,Fair,Fast,5mm,Experiment_2
2025-10-23T02:44:01.870Z,2438,6250,22891,3555,8471,28019,5371,8128,34199,4318,7741,31057,Day_1,Fair,Fast,5mm,Experiment_2
2025-10-23T02:44:01.910Z,2432,6257,22887,3549,8474,28016,5391,8113,34206,4327,7733,31058,Day_1,Fair,Fast,5mm,Experiment_2
2025-10-23T02:44:01.950Z,2425,6260,22890,3543,8475,28019,5396,8107,34220,4331,7733,31062,Day_1,Fair,Fast,5mm,Experiment_2
2025-10-23T02:44:01.990Z,2419,6261,22904,3541,8475,28031,5393,8097,34233,4333,7734,31065,Day_1,Fair,Fast,5mm,Experiment_2
2025-10-23T02:44:02.030Z,2422,6260,22920,3548,8474,28047,5392,8084,34238,4334,7732,31064,Day_1,Fair,Fast,5mm,Experiment_2
2025-10-23T02:44:02.070Z,2433,6252,22929,3562,8469,28057,5396,8082,34235,4333,7731,31059,Day_1,Fair,Fast,5mm,Experiment_2
2025-10-23T02:44:02.110Z,2448,6243,22929,3575,8462,28059,5400,8091,34227,4332,7733,31054,Day_1,Fair,Fast,5mm,Experiment_2
2025-10-23T02:44:02.150Z,2458,6241,22923,3580,8462,28056,5404,8100,34221,4336,7738,31053,Day_1,Fair,Fast,5mm,Experiment_2
2025-10-23T02:44:02.190Z,2457,6245,22917,3575,8466,28052,5404,8100,34219,4338,7739,31054,Day_1,Fair,Fast,5mm,Experiment_2
2025-10-23T02:44:02.230Z,2441,6249,22916,3562,8470,28049,5394,8091,34210,4333,7735,31050,Day_1,Fair,Fast,5mm,Experiment_2
2025-10-23T02:44:02.270Z,2421,6256,22911,3548,8476,28041,5375,8089,34194,4324,7733,31042,Day_1,Fair,Fast,5mm,Experiment_2
2025-10-23T02:44:02.310Z,2410,6263,22895,3542,8482,28026,5363,8096,34181,4318,7733,31035,Day_1,Fair,Fast,5mm,Experiment_2
2025-10-23T02:44:02.350Z,2411,6266,22877,3544,8483,28011,5364,8106,34182,4318,7734,31033,Day_1,Fair,Fast,5mm,Experiment_2
2025-10-23T02:44:02.390Z,2417,6268,22869,3547,8483,28005,5366,8116,34200,4319,7738,31040,Day_1,Fair,Fast,5mm,Experiment_2
2025-10-23T02:44:02.430Z,2421,6269,22873,3546,8484,28010,5367,8126,34222,4320,7743,31050,Day_1,Fair,Fast,5mm,Experiment_2
2025-10-23T02:44:02.470Z,2421,6269,22885,3545,8484,28022,5375,8133,34225,4326,7746,31053,Day_1,Fair,Fast,5mm,Experiment_2
2025-10-23T02:44:02.510Z,2420,6265,22897,3544,8481,28031,5382,8133,34217,4332,7746,31054,Day_1,Fair,Fast,5mm,Experiment_2
2025-10-23T02:44:02.550Z,2419,6258,22905,3542,8474,28034,5384,8131,34221,4333,7746,31062,Day_1,Fair,Fast,5mm,Experiment_2
2025-10-23T02:44:02.590Z,2421,6255,22908,3544,8469,28034,5390,8128,34241,4332,7747,31073,Day_1,Fair,Fast,5mm,Experiment_2
2025-10-23T02:44:02.630Z,2426,6262,22913,3549,8473,28037,5402,8125,34249,4337,7748,31079,Day_1,Fair,Fast,5mm,Experiment_2
2025-10-23T02:44:02.670Z,2430,6272,22922,3553,8480,28041,5412,8121,34234,4343,7747,31074,Day_1,Fair,Fast,5mm,Experiment_2
2025-10-23T02:44:02.710Z,2433,6274,22927,3554,8482,28043,5416,8117,34213,4342,7745,31067,Day_1,Fair,Fast,5mm,Experiment_2
