time,Unpolarized_A_Green,Unpolarized_A_Red,Unpolarized_A_IR,Unpolarized_B_Green,Unpolarized_B_Red,Unpolarized_B_IR,Co-Polarized_Green,Co-Polarized_Red,Co-Polarized_IR,Cross-Polarized_Green,Cross-Polarized_Red,Cross-Polarized_IR,Day,SkinTone,Speed,Depth,Experiment
2025-10-23T01:37:58.867Z,1683,4683,17271,2542,6658,21674,4540,6191,24050,3661,6357,24726,Day_1,Fair,Intermediate,3.75mm,Experiment_2
2025-10-23T01:37:58.907Z,1689,4677,17277,2542,6654,21642,4516,6426,24017,3636,6285,24505,Day_1,Fair,Intermediate,3.75mm,Experiment_2
2025-10-23T01:37:58.947Z,1686,4675,17275,2544,6648,21608,4505,6804,23974,3620,6207,24305,Day_1,Fair,Intermediate,3.75mm,Experiment_2
2025-10-23T01:37:58.987Z,1680,4681,17264,2548,6651,21600,4510,7219,23947,3620,6193,24273,Day_1,Fair,Intermediate,3.75mm,Experiment_2
2025-10-23T01:37:59.027Z,1678,4689,17255,2552,6659,21620,4518,7457,23959,3628,6276,24399,Day_1,Fair,Intermediate,3.75mm,Experiment_2
2025-10-23T01:37:59.067Z,1678,4693,17258,2554,6667,21656,4519,7538,23994,3639,6417,24570,Day_1,Fair,Intermediate,3.75mm,Experiment_2
2025-10-23T01:37:59.107Z,1683,4692,17266,2556,6672,21687,4514,7434,24017,3648,6526,24686,Day_1,Fair,Intermediate,3.75mm,Experiment_2
2025-10-23T01:37:59.147Z,1690,4691,17266,2558,6676,21694,4511,6994,24017,3653,6551,24718,Day_1,Fair,Intermediate,3.75mm,Experiment_2
2025-10-23T01:37:59.187Z,1695,4691,17262,2560,6677,21689,4513,6397,24013,3656,6514,24714,Day_1,Fair,Intermediate,3.75mm,Experiment_2
2025-10-23T01:37:59.227Z,1696,4689,17265,2559,6673,21692,4518,5883,24023,3660,6447,24739,Day_1,Fair,Intermediate,3.75mm,Experiment_2
