time,Unpolarized_A_Green,Unpolarized_A_Red,Unpolarized_A_IR,Unpolarized_B_Green,Unpolarized_B_Red,Unpolarized_B_IR,Co-Polarized_Green,Co-Polarized_Red,Co-Polarized_IR,Cross-Polarized_Green,Cross-Polarized_Red,Cross-Polarized_IR,Day,SkinTone,Speed,Depth,Experiment
2025-10-23T02:39:58.026Z,2436,6247,22865,3554,8451,27980,5419,8121,34244,4338,7737,31029,Day_1,Fair,Intermediate,5mm,Experiment_2
2025-10-23T02:39:58.066Z,2441,6242,22862,3563,8448,27977,5427,8136,34250,4338,7747,31035,Day_1,Fair,Intermediate,5mm,Experiment_2
2025-10-23T02:39:58.106Z,2441,6237,22863,3565,8442,27975,5422,8156,34265,4334,7755,31046,Day_1,Fair,Intermediate,5mm,Experiment_2
2025-10-23T02:39:58.146Z,2437,6232,22870,3563,8435,27978,5408,8165,34270,4329,7757,31052,Day_1,Fair,Intermediate,5mm,Experiment_2
2025-10-23T02:39:58.186Z,2433,6228,22881,3559,8429,27987,5391,8158,34265,4325,7754,31046,Day_1,Fair,Intermediate,5mm,Experiment_2
2025-10-23T02:39:58.226Z,2431,6229,22893,3556,8430,27996,5384,8146,34271,4328,7750,31042,Day_1,Fair,Intermediate,5mm,Experiment_2
2025-10-23T02:39:58.266Z,2433,6238,22899,3556,8440,28004,5396,8136,34284,4335,7745,31045,Day_1,Fair,Intermediate,5mm,Experiment_2
2025-10-23T02:39:58.306Z,2436,6248,22899,3556,8451,28007,5413,8126,34283,4342,7739,31047,Day_1,Fair,Intermediate,5mm,Experiment_2
2025-10-23T02:39:58.346Z,2436,6251,22898,3552,8455,28005,5423,8118,34267,4346,7731,31044,Day_1,Fair,Intermediate,5mm,Experiment_2
2025-10-23T02:39:58.386Z,2437,6249,22895,3552,8454,27999,5421,8122,34246,4346,7728,31035,Day_1,Fair,Intermediate,5mm,Experiment_2
2025-10-23T02:39:58.426Z,2438,6249,22890,3555,8451,27996,5412,8135,34227,4342,7732,31025,Day_1,Fair,Intermediate,5mm,Experiment_2
2025-10-23T02:39:58.466Z,2434,6251,22887,3553,8448,27996,5408,8141,34216,4338,7739,31018,Day_1,Fair,Intermediate,5mm,Experiment_2
