time,Unpolarized_A_Green,Unpolarized_A_Red,Unpolarized_A_IR,Unpolarized_B_Green,Unpolarized_B_Red,Unpolarized_B_IR,Co-Polarized_Green,Co-Polarized_Red,Co-Polarized_IR,Cross-Polarized_Green,Cross-Polarized_Red,Cross-Polarized_IR,Day,SkinTone,Speed,Depth,Experiment
2025-10-23T00:30:27.784Z,2748,6911,24404,3616,8571,27568,4201,5872,22818,3934,6583,25123,Day_1,Fair,Slow,2.5mm,Experiment_2
2025-10-23T00:30:27.824Z,2747,6922,24446,3613,8583,27589,4193,5832,22708,3903,6530,24949,Day_1,Fair,Slow,2.5mm,Experiment_2
2025-10-23T00:30:27.864Z,2747,6931,24498,3612,8598,27610,4183,5785,22543,3867,6458,24684,Day_1,Fair,Slow,2.5mm,Experiment_2
2025-10-23T00:30:27.904Z,2746,6930,24529,3606,8603,27616,4166,5758,22396,3834,6398,24448,Day_1,Fair,Slow,2.5mm,Experiment_2
2025-10-23T00:30:27.944Z,2743,6921,24526,3598,8598,27609,4143,5750,22339,3814,6372,24356,Day_1,Fair,Slow,2.5mm,Experiment_2
2025-10-23T00:30:27.984Z,2741,6915,24499,3593,8594,27597,4076,5750,22372,3804,6380,24402,Day_1,Fair,Slow,2.5mm,Experiment_2
2025-10-23T00:30:28.024Z,2741,6918,24466,3593,8596,27583,3838,5760,22456,3785,6409,24522,Day_1,Fair,Slow,2.5mm,Experiment_2
2025-10-23T00:30:28.064Z,2743,6930,24436,3598,8602,27566,3387,5780,22560,3743,6446,24674,Day_1,Fair,Slow,2.5mm,Experiment_2
2025-10-23T00:30:28.104Z,2746,6941,24417,3604,8607,27554,3041,5804,22658,3719,6482,24815,Day_1,Fair,Slow,2.5mm,Experiment_2
2025-10-23T00:30:28.144Z,2749,6944,24412,3607,8612,27555,3100,5833,22725,3751,6513,24900,Day_1,Fair,Slow,2.5mm,Experiment_2
