time,Unpolarized_A_Green,Unpolarized_A_Red,Unpolarized_A_IR,Unpolarized_B_Green,Unpolarized_B_Red,Unpolarized_B_IR,Co-Polarized_Green,Co-Polarized_Red,Co-Polarized_IR,Cross-Polarized_Green,Cross-Polarized_Red,Cross-Polarized_IR,Day,SkinTone,Speed,Depth,Experiment
2025-10-23T02:31:36.935Z,12,766,1480,255,883,1213,4041,3487,12042,2649,2470,6909,Day_1,Fair,Slow,5mm,Experiment_2
2025-10-23T02:31:36.975Z,17,757,1479,259,874,1213,4045,3477,12061,2650,2464,6914,Day_1,Fair,Slow,5mm,Experiment_2
2025-10-23T02:31:37.015Z,27,760,1476,267,877,1212,4051,3466,12092,2655,2460,6923,Day_1,Fair,Slow,5mm,Experiment_2
2025-10-23T02:31:37.055Z,38,769,1474,275,887,1212,4057,3445,12114,2661,2450,6930,Day_1,Fair,Slow,5mm,Experiment_2
2025-10-23T02:31:37.095Z,46,779,1472,282,896,1210,4058,3423,12110,2666,2441,6929,Day_1,Fair,Slow,5mm,Experiment_2
2025-10-23T02:35:53.963Z,47,786,1467,284,903,1207,4052,3413,12072,2668,2437,6923,Day_1,Fair,Slow,5mm,Experiment_2
2025-10-23T02:35:54.003Z,44,789,1460,283,906,1205,4031,3408,12015,2664,2434,6916,Day_1,Fair,Slow,5mm,Experiment_2
2025-10-23T02:35:54.043Z,37,787,1453,282,905,1203,4000,3410,11980,2655,2435,6915,Day_1,Fair,Slow,5mm,Experiment_2
2025-10-23T02:35:54.083Z,32,782,1450,280,901,1203,3983,3425,11988,2649,2443,6920,Day_1,Fair,Slow,5mm,Experiment_2
2025-10-23T02:35:54.123Z,30,783,1454,278,901,1205,3991,3443,12012,2651,2452,6921,Day_1,Fair,Slow,5mm,Experiment_2
2025-10-23T02:35:54.163Z,28,791,1468,275,907,1217,4013,3448,12041,2659,2459,6925,Day_1,Fair,Slow,5mm,Experiment_2
2025-10-23T02:35:54.203Z,30,815,1548,278,935,1307,4033,3456,12132,2668,2474,7001,Day_1,Fair,Slow,5mm,Experiment_2
2025-10-23T02:35:54.243Z,86,946,2065,348,1107,1923,4067,3566,12654,2701,2595,7547,Day_1,Fair,Slow,5mm,Experiment_2
2025-10-23T02:35:54.283Z,334,1477,4183,663,1815,4451,4179,4043,14738,2843,3102,9772,Day_1,Fair,Slow,5mm,Experiment_2
2025-10-23T02:35:54.324Z,910,2739,9153,1403,3492,10381,4433,5131,19592,3176,4279,14970,Day_1,Fair,Slow,5mm,Experiment_2
2025-10-23T02:35:54.364Z,1661,4431,15765,2374,5732,18268,4764,6512,26023,3613,5807,21868,Day_1,Fair,Slow,5mm,Experiment_2
2025-10-23T02:35:54.404Z,2218,5711,20746,3097,7420,24209,5013,7473,30846,3938,6910,27052,Day_1,Fair,Slow,5mm,Experiment_2
2025-10-23T02:35:54.444Z,2458,6255,22874,3404,8134,26744,5123,7817,32890,4075,7348,29257,Day_1,Fair,Slow,5mm,Experiment_2
2025-10-23T02:35:54.484Z,2519,6380,23395,3480,8300,27360,5139,7853,33385,4102,7439,29792,Day_1,Fair,Slow,5mm,Experiment_2
2025-10-23T02:35:54.524Z,2522,6397,23479,3486,8324,27453,5120,7837,33469,4091,7442,29873,Day_1,Fair,Slow,5mm,Experiment_2
2025-10-23T02:35:54.564Z,2513,6404,23501,3478,8332,27473,5115,7858,33494,4083,7437,29886,Day_1,Fair,Slow,5mm,Experiment_2
2025-10-23T02:35:54.604Z,2507,6409,23512,3472,8337,27484,5137,7903,33510,4091,7438,29891,Day_1,Fair,Slow,5mm,Experiment_2
2025-10-23T02:35:54.644Z,2507,6411,23513,3471,8340,27490,5164,7939,33523,4104,7446,29894,Day_1,Fair,Slow,5mm,Experiment_2
2025-10-23T02:35:54.684Z,2509,6412,23505,3475,8343,27486,5182,7963,33524,4116,7458,29892,Day_1,Fair,Slow,5mm,Experiment_2
2025-10-23T02:35:54.724Z,2510,6409,23491,3478,8342,27470,5194,7984,33507,4126,7471,29888,Day_1,Fair,Slow,5mm,Experiment_2
2025-10-23T02:35:54.764Z,2508,6405,23476,3479,8336,27450,5198,7991,33491,4129,7476,29885,Day_1,Fair,Slow,5mm,Experiment_2
2025-10-23T02:35:54.804Z,2508,6399,23465,3478,8330,27435,5191,7976,33489,4124,7466,29883,Day_1,Fair,Slow,5mm,Experiment_2
2025-10-23T02:35:54.844Z,2512,6394,23459,3480,8325,27432,5175,7959,33497,4115,7452,29881,Day_1,Fair,Slow,5mm,Experiment_2
2025-10-23T02:35:54.884Z,2519,6392,23458,3483,8322,27436,5154,7959,33502,4104,7448,29882,Day_1,Fair,Slow,5mm,Experiment_2
2025-10-23T02:35:54.924Z,2524,6391,23455,3483,8320,27439,5137,7961,33495,4097,7451,29883,Day_1,Fair,Slow,5mm,Experiment_2
2025-10-23T02:35:54.964Z,2523,6394,23450,3481,8322,27438,5140,7954,33483,4099,7453,29881,Day_1,Fair,Slow,5mm,Experiment_2
2025-10-23T02:35:55.004Z,2519,6403,23450,3479,8329,27435,5159,7951,33480,4106,7454,29883,Day_1,Fair,Slow,5mm,Experiment_2
2025-10-23T02:35:55.044Z,2518,6414,23461,3478,8338,27435,5165,7961,33484,4105,7459,29889,Day_1,Fair,Slow,5mm,Experiment_2
2025-10-23T02:35:55.084Z,2520,6423,23469,3480,8348,27435,5145,7969,33487,4093,7464,29894,Day_1,Fair,Slow,5mm,Experiment_2
2025-10-23T02:35:55.124Z,2525,6429,23466,3485,8356,27431,5131,7960,33486,4088,7458,29897,Day_1,Fair,Slow,5mm,Experiment_2
2025-10-23T02:35:55.164Z,2529,6425,23460,3487,8354,27427,5145,7943,33477,4095,7450,29896,Day_1,Fair,Slow,5mm,Experiment_2
2025-10-23T02:35:55.204Z,2524,6417,23460,3483,8342,27433,5156,7938,33457,4103,7451,29884,Day_1,Fair,Slow,5mm,Experiment_2
2025-10-23T02:35:55.244Z,2518,6409,23464,3478,8329,27446,5139,7947,33434,4101,7457,29867,Day_1,Fair,Slow,5mm,Experiment_2
2025-10-23T02:35:55.284Z,2518,6401,23465,3481,8320,27452,5116,7953,33431,4097,7460,29861,Day_1,Fair,Slow,5mm,Experiment_2
2025-10-23T02:35:55.324Z,2517,6397,23462,3482,8319,27449,5115,7941,33454,4101,7454,29871,Day_1,Fair,Slow,5mm,Experiment_2
2025-10-23T02:35:55.364Z,2511,6397,23464,3474,8324,27447,5125,7918,33482,4106,7443,29886,Day_1,Fair,Slow,5mm,Experiment_2
2025-10-23T02:35:55.404Z,2505,6402,23475,3465,8332,27456,5131,7898,33497,4106,7432,29896,Day_1,Fair,Slow,5mm,Experiment_2
2025-10-23T02:35:55.444Z,2505,6411,23488,3464,8341,27469,5126,7893,33503,4099,7429,29898,Day_1,Fair,Slow,5mm,Experiment_2
