Channel,Hardware Channel,WindowStartIdx,WindowEndIdx,WindowStartSec,WindowEndSec,Mean,Std,Skewness,Day,SkinTone,Speed,Depth,Experiment
Unpolarized_B_IR,C10,0,250,0.0,10.0,3.410605131648481e-16,19.663968125687553,0.4153450836078641,Day_1,Fair,Medium,2.5mm,Experiment_2
Unpolarized_B_IR,C10,25,275,1.0,11.0,-3.410605131648481e-16,20.66878107946323,0.5763550393703946,Day_1,Fair,Medium,2.5mm,Experiment_2
Unpolarized_B_IR,C10,50,300,2.0,12.0,5.684341886080802e-17,21.89844929530282,0.6204737153884239,Day_1,Fair,Medium,2.5mm,Experiment_2
Unpolarized_B_IR,C10,75,325,3.0,13.0,1.9895196601282808e-16,21.32868490152764,0.5554325642483016,Day_1,Fair,Medium,2.5mm,Experiment_2
Unpolarized_B_IR,C10,100,350,4.0,14.0,3.410605131648481e-16,21.791892835119917,0.4688036291805921,Day_1,Fair,Medium,2.5mm,Experiment_2
Unpolarized_B_IR,C10,125,375,5.0,15.0,-2.842170943040401e-17,22.84472658825209,0.6122125222076646,Day_1,Fair,Medium,2.5mm,Experiment_2
Unpolarized_B_IR,C10,150,400,6.0,16.0,-2.842170943040401e-16,22.948025551497953,0.6203234508080383,Day_1,Fair,Medium,2.5mm,Experiment_2
Unpolarized_B_IR,C10,175,425,7.0,17.0,-5.6843418860808095e-16,22.252385896083386,0.5313019165376213,Day_1,Fair,Medium,2.5mm,Experiment_2
Unpolarized_B_IR,C10,200,450,8.0,18.0,-6.821210263296962e-16,22.05670877794167,0.4140791236473475,Day_1,Fair,Medium,2.5mm,Experiment_2
Unpolarized_B_IR,C10,225,475,9.0,19.0,-1.1368683772161603e-16,21.617836339763876,0.5709061656090436,Day_1,Fair,Medium,2.5mm,Experiment_2
Unpolarized_B_IR,C10,250,500,10.0,20.0,5.684341886080802e-17,20.39260544526694,0.7078001270059255,Day_1,Fair,Medium,2.5mm,Experiment_2
Unpolarized_B_IR,C10,275,525,11.0,21.0,-1.4210854715202004e-16,20.203739087894085,0.5669646536077299,Day_1,Fair,Medium,2.5mm,Experiment_2
Unpolarized_B_IR,C10,300,550,12.0,22.0,1.4210854715202004e-17,19.305974970871905,0.53355785550476,Day_1,Fair,Medium,2.5mm,Experiment_2
Unpolarized_B_IR,C10,325,575,13.0,23.0,2.842170943040401e-16,19.52027028261948,0.6730624202253114,Day_1,Fair,Medium,2.5mm,Experiment_2
Unpolarized_B_IR,C10,350,600,14.0,24.0,-8.5265128291212e-17,18.856841288658543,0.7016449033891791,Day_1,Fair,Medium,2.5mm,Experiment_2
Unpolarized_B_IR,C10,375,625,15.0,25.0,-3.979039320256561e-16,17.94081586057806,0.7192341822047776,Day_1,Fair,Medium,2.5mm,Experiment_2
Unpolarized_B_IR,C10,400,650,16.0,26.0,-1.1368683772161603e-16,18.46950909008064,0.7561234021725926,Day_1,Fair,Medium,2.5mm,Experiment_2
Unpolarized_B_IR,C10,425,675,17.0,27.0,1.9895196601282808e-16,20.113594608041055,0.6720625972590498,Day_1,Fair,Medium,2.5mm,Experiment_2
Unpolarized_B_IR,C10,450,700,18.0,28.0,-3.410605131648481e-16,21.101514042855708,0.7445866300855005,Day_1,Fair,Medium,2.5mm,Experiment_2
Unpolarized_B_IR,C10,475,725,19.0,29.0,4.263256414560601e-16,22.894092760057987,0.3702170996170232,Day_1,Fair,Medium,2.5mm,Experiment_2
Unpolarized_B_IR,C10,500,750,20.0,30.0,1.70530256582424e-16,21.87535687704104,0.671984560526806,Day_1,Fair,Medium,2.5mm,Experiment_2
Unpolarized_B_IR,C10,525,775,21.0,31.0,-6.821210263296962e-16,21.91790161715079,0.7299408666297634,Day_1,Fair,Medium,2.5mm,Experiment_2
Unpolarized_B_IR,C10,550,800,22.0,32.0,1.70530256582424e-16,22.78013391529068,0.7595983800476087,Day_1,Fair,Medium,2.5mm,Experiment_2
Unpolarized_B_IR,C10,575,825,23.0,33.0,2.4158453015843413e-16,22.854071533777493,0.6846440625466546,Day_1,Fair,Medium,2.5mm,Experiment_2
Unpolarized_B_IR,C10,600,850,24.0,34.0,0.0,22.183868124505477,0.7791682130176486,Day_1,Fair,Medium,2.5mm,Experiment_2
Unpolarized_B_IR,C10,625,875,25.0,35.0,-2.7711166694643907e-16,22.413663241888784,0.7498328933056786,Day_1,Fair,Medium,2.5mm,Experiment_2
Unpolarized_B_IR,C10,650,900,26.0,36.0,1.70530256582424e-16,21.5956158845838,0.7265405738201557,Day_1,Fair,Medium,2.5mm,Experiment_2
Unpolarized_B_IR,C10,675,925,27.0,37.0,-5.684341886080802e-17,20.70037895042916,0.7310463809602279,Day_1,Fair,Medium,2.5mm,Experiment_2
Unpolarized_B_IR,C10,700,950,28.0,38.0,1.9895196601282808e-16,19.72023397601215,0.8054913785794379,Day_1,Fair,Medium,2.5mm,Experiment_2
Unpolarized_B_IR,C10,725,975,29.0,39.0,1.70530256582424e-16,19.857218259464133,0.3179459313391606,Day_1,Fair,Medium,2.5mm,Experiment_2
Co-Polarized_Green,C13,0,250,0.0,10.0,1.1368683772161603e-16,65.5899627336689,-0.6898739961152495,Day_1,Fair,Medium,2.5mm,Experiment_2
Co-Polarized_Green,C13,25,275,1.0,11.0,-9.094947017729285e-16,63.814296889209835,-0.7822892007176018,Day_1,Fair,Medium,2.5mm,Experiment_2
Co-Polarized_Green,C13,50,300,2.0,12.0,1.1368683772161603e-16,61.46196126679516,-0.7672174574566449,Day_1,Fair,Medium,2.5mm,Experiment_2
Co-Polarized_Green,C13,75,325,3.0,13.0,9.094947017729285e-16,62.280126902624154,-0.734495157586579,Day_1,Fair,Medium,2.5mm,Experiment_2
Co-Polarized_Green,C13,100,350,4.0,14.0,6.821210263296962e-16,61.42657852320139,-0.6994517712220891,Day_1,Fair,Medium,2.5mm,Experiment_2
Co-Polarized_Green,C13,125,375,5.0,15.0,-2.2737367544323206e-16,61.981515900831795,-0.7847573295664283,Day_1,Fair,Medium,2.5mm,Experiment_2
Co-Polarized_Green,C13,150,400,6.0,16.0,-5.6843418860808095e-16,61.58399058850625,-0.8213430051777143,Day_1,Fair,Medium,2.5mm,Experiment_2
Co-Polarized_Green,C13,175,425,7.0,17.0,-3.865352482534945e-15,63.76948864510501,-0.7189411713554477,Day_1,Fair,Medium,2.5mm,Experiment_2
Co-Polarized_Green,C13,200,450,8.0,18.0,6.821210263296962e-16,66.26473505683887,-0.6205053324210983,Day_1,Fair,Medium,2.5mm,Experiment_2
