Participant,Channel,Hardware Channel,Metric,Mean,Std,Day,SkinTone,Speed,Depth,Experiment,Mean PI,Std PI
Fair_Slow_3.75mm,Unpolarized_A_Green,C5,PI,,,Day_1,Fair,Slow,3.75mm,Experiment_2,,
Fair_Slow_3.75mm,Unpolarized_A_Red,C2,PI,,,Day_1,Fair,Slow,3.75mm,Experiment_2,,
Fair_Slow_3.75mm,Unpolarized_A_IR,C4,PI,,,Day_1,Fair,Slow,3.75mm,Experiment_2,,
Fair_Slow_3.75mm,Unpolarized_B_Green,C11,PI,,,Day_1,Fair,Slow,3.75mm,Experiment_2,,
Fair_Slow_3.75mm,Unpolarized_B_Red,C8,PI,,,Day_1,Fair,Slow,3.75mm,Experiment_2,,
Fair_Slow_3.75mm,Unpolarized_B_IR,C10,PI,,,Day_1,Fair,Slow,3.75mm,Experiment_2,,
Fair_Slow_3.75mm,Co-Polarized_Green,C13,PI,,,Day_1,Fair,Slow,3.75mm,Experiment_2,,
Fair_Slow_3.75mm,Co-Polarized_Red,C12,PI,,,Day_1,Fair,Slow,3.75mm,Experiment_2,,
Fair_Slow_3.75mm,Co-Polarized_IR,C15,PI,,,Day_1,Fair,Slow,3.75mm,Experiment_2,,
Fair_Slow_3.75mm,Cross-Polarized_Green,C19,PI,,,Day_1,Fair,Slow,3.75mm,Experiment_2,,
Fair_Slow_3.75mm,Cross-Polarized_Red,C18,PI,,,Day_1,Fair,Slow,3.75mm,Experiment_2,,
Fair_Slow_3.75mm,Cross-Polarized_IR,C21,PI,,,Day_1,Fair,Slow,3.75mm,Experiment_2,,
Fair_Intermediate_5mm,Unpolarized_A_Green,C5,PI,-201.4951861504133,90.08311444756592,Day_1,Fair,Intermediate,5mm,Experiment_2,,
Fair_Intermediate_5mm,Unpolarized_A_Red,C2,PI,-198.24157270544444,57.1178016645729,Day_1,Fair,Intermediate,5mm,Experiment_2,,
Fair_Intermediate_5mm,Unpolarized_A_IR,C4,PI,-257.56726215140344,81.8549649571241,Day_1,Fair,Intermediate,5mm,Experiment_2,,
Fair_Intermediate_5mm,Unpolarized_B_Green,C11,PI,-251.9588890955687,0.0,Day_1,Fair,Intermediate,5mm,Experiment_2,,
Fair_Intermediate_5mm,Unpolarized_B_Red,C8,PI,-219.49694547713443,46.03874094969352,Day_1,Fair,Intermediate,5mm,Experiment_2,,
Fair_Intermediate_5mm,Unpolarized_B_IR,C10,PI,-215.6934393244726,35.56705001912575,Day_1,Fair,Intermediate,5mm,Experiment_2,,
Fair_Intermediate_5mm,Co-Polarized_Green,C13,PI,-202.7030097992988,57.86563713735795,Day_1,Fair,Intermediate,5mm,Experiment_2,,
Fair_Intermediate_5mm,Co-Polarized_Red,C12,PI,-199.038407463034,44.60045518599392,Day_1,Fair,Intermediate,5mm,Experiment_2,,
Fair_Intermediate_5mm,Co-Polarized_IR,C15,PI,-228.69360638898297,55.53834627317367,Day_1,Fair,Intermediate,5mm,Experiment_2,,
Fair_Intermediate_5mm,Cross-Polarized_Green,C19,PI,-231.8910569688448,60.85110585576609,Day_1,Fair,Intermediate,5mm,Experiment_2,,
Fair_Intermediate_5mm,Cross-Polarized_Red,C18,PI,-196.11619400771292,56.84500323222359,Day_1,Fair,Intermediate,5mm,Experiment_2,,
Fair_Intermediate_5mm,Cross-Polarized_IR,C21,PI,-217.81804857393732,48.634087213956875,Day_1,Fair,Intermediate,5mm,Experiment_2,,
Fair_Slow_2.5mm,Unpolarized_A_Green,C5,PI,-207.9450361144484,60.33464776058396,Day_1,Fair,Slow,2.5mm,Experiment_2,,
Fair_Slow_2.5mm,Unpolarized_A_Red,C2,PI,-172.9977608499022,48.610441210155535,Day_1,Fair,Slow,2.5mm,Experiment_2,,
Fair_Slow_2.5mm,Unpolarized_A_IR,C4,PI,-239.64371900023409,107.10370807091245,Day_1,Fair,Slow,2.5mm,Experiment_2,,
Fair_Slow_2.5mm,Unpolarized_B_Green,C11,PI,-212.17993655268924,59.64767211618442,Day_1,Fair,Slow,2.5mm,Experiment_2,,
Fair_Slow_2.5mm,Unpolarized_B_Red,C8,PI,-231.1341901672489,49.40772489845459,Day_1,Fair,Slow,2.5mm,Experiment_2,,
Fair_Slow_2.5mm,Unpolarized_B_IR,C10,PI,-214.39115164930183,52.9883857747904,Day_1,Fair,Slow,2.5mm,Experiment_2,,
Fair_Slow_2.5mm,Co-Polarized_Green,C13,PI,-106.40739964222983,356.2624029034716,Day_1,Fair,Slow,2.5mm,Experiment_2,,
Fair_Slow_2.5mm,Co-Polarized_Red,C12,PI,-268.17161006068835,101.89520816003376,Day_1,Fair,Slow,2.5mm,Experiment_2,,
Fair_Slow_2.5mm,Co-Polarized_IR,C15,PI,6.154004186048632,691.7468598021154,Day_1,Fair,Slow,2.5mm,Experiment_2,,
Fair_Slow_2.5mm,Cross-Polarized_Green,C19,PI,-209.3033755734237,21.900115466817,Day_1,Fair,Slow,2.5mm,Experiment_2,,
Fair_Slow_2.5mm,Cross-Polarized_Red,C18,PI,-199.37350651727647,23.8201398622252,Day_1,Fair,Slow,2.5mm,Experiment_2,,
Fair_Slow_2.5mm,Cross-Polarized_IR,C21,PI,-199.3496744070989,32.32176565222799,Day_1,Fair,Slow,2.5mm,Experiment_2,,
Fair_Slow_5mm,Unpolarized_A_Green,C5,PI,-210.6154310893448,92.48462456218697,Day_1,Fair,Slow,5mm,Experiment_2,,
Fair_Slow_5mm,Unpolarized_A_Red,C2,PI,-207.51762610484815,73.16253450616523,Day_1,Fair,Slow,5mm,Experiment_2,,
Fair_Slow_5mm,Unpolarized_A_IR,C4,PI,-203.49674741247335,53.39225628096532,Day_1,Fair,Slow,5mm,Experiment_2,,
Fair_Slow_5mm,Unpolarized_B_Green,C11,PI,-203.92772410669193,13.376798797108364,Day_1,Fair,Slow,5mm,Experiment_2,,
Fair_Slow_5mm,Unpolarized_B_Red,C8,PI,-267.22782813465983,0.0,Day_1,Fair,Slow,5mm,Experiment_2,,
Fair_Slow_5mm,Unpolarized_B_IR,C10,PI,-196.298116032246,28.054312729710265,Day_1,Fair,Slow,5mm,Experiment_2,,
Fair_Slow_5mm,Co-Polarized_Green,C13,PI,-171.60385384869178,95.13817178296809,Day_1,Fair,Slow,5mm,Experiment_2,,
Fair_Slow_5mm,Co-Polarized_Red,C12,PI,-266.5343333655925,148.34071934215874,Day_1,Fair,Slow,5mm,Experiment_2,,
Fair_Slow_5mm,Co-Polarized_IR,C15,PI,-227.5796460141919,128.37990503769933,Day_1,Fair,Slow,5mm,Experiment_2,,
Fair_Slow_5mm,Cross-Polarized_Green,C19,PI,-268.50214112724376,30.404878024898153,Day_1,Fair,Slow,5mm,Experiment_2,,
Fair_Slow_5mm,Cross-Polarized_Red,C18,PI,-207.12687580503425,35.14622749366351,Day_1,Fair,Slow,5mm,Experiment_2,,
Fair_Slow_5mm,Cross-Polarized_IR,C21,PI,-236.41828494328348,146.11256715910542,Day_1,Fair,Slow,5mm,Experiment_2,,
Fair_Intermediate_3.75mm,Unpolarized_A_Green,C5,PI,-205.4740876075422,31.215182798174013,Day_1,Fair,Intermediate,3.75mm,Experiment_2,,
Fair_Intermediate_3.75mm,Unpolarized_A_Red,C2,PI,-210.0957023185266,89.09703033995822,Day_1,Fair,Intermediate,3.75mm,Experiment_2,,
Fair_Intermediate_3.75mm,Unpolarized_A_IR,C4,PI,-207.4891921657631,33.15416393208867,Day_1,Fair,Intermediate,3.75mm,Experiment_2,,
Fair_Intermediate_3.75mm,Unpolarized_B_Green,C11,PI,-192.3391327772847,0.0,Day_1,Fair,Intermediate,3.75mm,Experiment_2,,
Fair_Intermediate_3.75mm,Unpolarized_B_Red,C8,PI,-216.66116300185473,46.700767191839645,Day_1,Fair,Intermediate,3.75mm,Experiment_2,,
Fair_Intermediate_3.75mm,Unpolarized_B_IR,C10,PI,-202.45056666637515,36.229963336710874,Day_1,Fair,Intermediate,3.75mm,Experiment_2,,
Fair_Intermediate_3.75mm,Co-Polarized_Green,C13,PI,328.36944980010446,2785.241499969745,Day_1,Fair,Intermediate,3.75mm,Experiment_2,,
Fair_Intermediate_3.75mm,Co-Polarized_Red,C12,PI,-183.90182105136853,94.6590889073129,Day_1,Fair,Intermediate,3.75mm,Experiment_2,,
Fair_Intermediate_3.75mm,Co-Polarized_IR,C15,PI,-206.84273686080337,43.50985720769154,Day_1,Fair,Intermediate,3.75mm,Experiment_2,,
Fair_Intermediate_3.75mm,Cross-Polarized_Green,C19,PI,-212.2251443224515,58.34506334589935,Day_1,Fair,Intermediate,3.75mm,Experiment_2,,
Fair_Intermediate_3.75mm,Cross-Polarized_Red,C18,PI,-202.41530294262452,34.54591810124023,Day_1,Fair,Intermediate,3.75mm,Experiment_2,,
Fair_Intermediate_3.75mm,Cross-Polarized_IR,C21,PI,-203.9252472697183,35.22874876582935,Day_1,Fair,Intermediate,3.75mm,Experiment_2,,
Fair_Fast_3.75mm,Unpolarized_A_Green,C5,PI,,,Day_1,Fair,Fast,3.75mm,Experiment_2,,
Fair_Fast_3.75mm,Unpolarized_A_Red,C2,PI,-217.1805424359268,0.0,Day_1,Fair,Fast,3.75mm,Experiment_2,,
Fair_Fast_3.75mm,Unpolarized_A_IR,C4,PI,-225.84154169299163,0.0,Day_1,Fair,Fast,3.75mm,Experiment_2,,
Fair_Fast_3.75mm,Unpolarized_B_Green,C11,PI,-195.7317132372927,0.0,Day_1,Fair,Fast,3.75mm,Experiment_2,,
Fair_Fast_3.75mm,Unpolarized_B_Red,C8,PI,-214.5912047834595,0.0,Day_1,Fair,Fast,3.75mm,Experiment_2,,
Fair_Fast_3.75mm,Unpolarized_B_IR,C10,PI,-244.95985444415896,52.901554286102495,Day_1,Fair,Fast,3.75mm,Experiment_2,,
Fair_Fast_3.75mm,Co-Polarized_Green,C13,PI,-215.4317358723947,31.030712789994272,Day_1,Fair,Fast,3.75mm,Experiment_2,,
Fair_Fast_3.75mm,Co-Polarized_Red,C12,PI,-202.9686564812446,36.99626497646974,Day_1,Fair,Fast,3.75mm,Experiment_2,,
Fair_Fast_3.75mm,Co-Polarized_IR,C15,PI,-197.77048153148488,56.78178909951916,Day_1,Fair,Fast,3.75mm,Experiment_2,,
Fair_Fast_3.75mm,Cross-Polarized_Green,C19,PI,-207.2535685115513,0.0,Day_1,Fair,Fast,3.75mm,Experiment_2,,
Fair_Fast_3.75mm,Cross-Polarized_Red,C18,PI,-229.08096923898552,89.56693972076407,Day_1,Fair,Fast,3.75mm,Experiment_2,,
Fair_Fast_3.75mm,Cross-Polarized_IR,C21,PI,-232.36237505461645,132.669560134799,Day_1,Fair,Fast,3.75mm,Experiment_2,,
Fair_Intermediate_2.5mm,Unpolarized_A_Green,C5,PI,-242.42653271435017,38.73251243609768,Day_1,Fair,Intermediate,2.5mm,Experiment_2,,
Fair_Intermediate_2.5mm,Unpolarized_A_Red,C2,PI,-236.20934292916644,17.145715095631942,Day_1,Fair,Intermediate,2.5mm,Experiment_2,,
Fair_Intermediate_2.5mm,Unpolarized_A_IR,C4,PI,-200.71981261836495,31.796644055456134,Day_1,Fair,Intermediate,2.5mm,Experiment_2,,
Fair_Intermediate_2.5mm,Unpolarized_B_Green,C11,PI,-229.3438210543381,0.0,Day_1,Fair,Intermediate,2.5mm,Experiment_2,,
Fair_Intermediate_2.5mm,Unpolarized_B_Red,C8,PI,,,Day_1,Fair,Intermediate,2.5mm,Experiment_2,,
Fair_Intermediate_2.5mm,Unpolarized_B_IR,C10,PI,-235.89001989308315,20.113370160981813,Day_1,Fair,Intermediate,2.5mm,Experiment_2,,
Fair_Intermediate_2.5mm,Co-Polarized_Green,C13,PI,-201.0977955728854,128.08565960762633,Day_1,Fair,Intermediate,2.5mm,Experiment_2,,
Fair_Intermediate_2.5mm,Co-Polarized_Red,C12,PI,-297.51254657303036,241.60597508613665,Day_1,Fair,Intermediate,2.5mm,Experiment_2,,
