time,Unpolarized_A_Green,Unpolarized_A_Red,Unpolarized_A_IR,Unpolarized_B_Green,Unpolarized_B_Red,Unpolarized_B_IR,Co-Polarized_Green,Co-Polarized_Red,Co-Polarized_IR,Cross-Polarized_Green,Cross-Polarized_Red,Cross-Polarized_IR,Day,SkinTone,Speed,Depth,Experiment
2025-10-23T02:10:19.119Z,111,1115,3074,427,1447,3889,3564,3317,13997,2271,2393,8750,Day_1,Medium,Fast,3.75mm,Experiment_2
2025-10-23T02:10:19.159Z,115,1116,3075,433,1444,3889,3559,3309,13970,2269,2383,8744,Day_1,Medium,Fast,3.75mm,Experiment_2
2025-10-23T02:10:19.199Z,111,1121,3079,429,1446,3889,3543,3302,13943,2261,2379,8735,Day_1,Medium,Fast,3.75mm,Experiment_2
2025-10-23T02:10:19.239Z,104,1128,3081,420,1454,3890,3531,3309,13939,2254,2382,8733,Day_1,Medium,Fast,3.75mm,Experiment_2
2025-10-23T02:10:19.279Z,99,1132,3079,414,1460,3891,3534,3327,13957,2254,2392,8739,Day_1,Medium,Fast,3.75mm,Experiment_2
2025-10-23T02:10:19.319Z,98,1130,3078,412,1460,3895,3545,3336,13968,2260,2399,8745,Day_1,Medium,Fast,3.75mm,Experiment_2
2025-10-23T02:10:19.359Z,102,1124,3080,412,1457,3899,3539,3324,13960,2261,2396,8746,Day_1,Medium,Fast,3.75mm,Experiment_2
2025-10-23T02:11:30.991Z,106,1119,3080,416,1455,3900,3518,3297,13950,2255,2387,8739,Day_1,Medium,Fast,3.75mm,Experiment_2
2025-10-23T02:11:31.031Z,109,1119,3078,421,1455,3896,3506,3280,13944,2250,2382,8729,Day_1,Medium,Fast,3.75mm,Experiment_2
2025-10-23T02:11:31.071Z,110,1123,3075,425,1458,3892,3504,3281,13940,2246,2383,8723,Day_1,Medium,Fast,3.75mm,Experiment_2
2025-10-23T02:11:31.111Z,110,1130,3071,426,1462,3888,3498,3290,13946,2241,2382,8729,Day_1,Medium,Fast,3.75mm,Experiment_2
2025-10-23T02:11:31.151Z,106,1131,3072,424,1461,3887,3486,3298,13963,2237,2380,8742,Day_1,Medium,Fast,3.75mm,Experiment_2
2025-10-23T02:11:31.191Z,98,1126,3076,418,1454,3888,3475,3303,13976,2234,2382,8751,Day_1,Medium,Fast,3.75mm,Experiment_2
2025-10-23T02:11:31.231Z,91,1122,3076,414,1449,3885,3471,3307,13975,2231,2385,8753,Day_1,Medium,Fast,3.75mm,Experiment_2
2025-10-23T02:11:31.271Z,91,1126,3072,416,1452,3880,3474,3308,13969,2230,2387,8752,Day_1,Medium,Fast,3.75mm,Experiment_2
2025-10-23T02:11:31.311Z,95,1132,3069,422,1460,3878,3479,3303,13973,2231,2389,8757,Day_1,Medium,Fast,3.75mm,Experiment_2
2025-10-23T02:11:31.351Z,101,1131,3070,430,1461,3880,3484,3303,13991,2235,2394,8771,Day_1,Medium,Fast,3.75mm,Experiment_2
2025-10-23T02:11:31.391Z,109,1124,3076,436,1459,3887,3498,3311,14017,2243,2403,8787,Day_1,Medium,Fast,3.75mm,Experiment_2
2025-10-23T02:11:31.431Z,114,1121,3086,436,1459,3898,3517,3325,14031,2253,2410,8794,Day_1,Medium,Fast,3.75mm,Experiment_2
2025-10-23T02:11:31.471Z,113,1124,3091,433,1464,3904,3532,3334,14023,2259,2414,8787,Day_1,Medium,Fast,3.75mm,Experiment_2
2025-10-23T02:11:31.511Z,106,1130,3086,427,1468,3904,3532,3332,14002,2260,2414,8774,Day_1,Medium,Fast,3.75mm,Experiment_2
2025-10-23T02:11:31.551Z,96,1134,3078,421,1470,3901,3523,3332,13987,2260,2416,8767,Day_1,Medium,Fast,3.75mm,Experiment_2
2025-10-23T02:11:31.591Z,88,1134,3073,414,1468,3899,3519,3332,13990,2260,2420,8774,Day_1,Medium,Fast,3.75mm,Experiment_2
2025-10-23T02:11:31.631Z,83,1128,3072,410,1462,3896,3521,3315,14009,2259,2415,8789,Day_1,Medium,Fast,3.75mm,Experiment_2
2025-10-23T02:11:31.671Z,80,1123,3073,407,1459,3893,3520,3288,14025,2258,2403,8802,Day_1,Medium,Fast,3.75mm,Experiment_2
