time,Unpolarized_A_Green,Unpolarized_A_Red,Unpolarized_A_IR,Unpolarized_B_Green,Unpolarized_B_Red,Unpolarized_B_IR,Co-Polarized_Green,Co-Polarized_Red,Co-Polarized_IR,Cross-Polarized_Green,Cross-Polarized_Red,Cross-Polarized_IR,Day,SkinTone,Speed,Depth,Experiment
2025-10-23T02:54:07.408Z,145,1160,4205,482,1582,6010,3135,2885,11488,1976,2075,10763,Day_1,Medium,Fast,5mm,Experiment_2
2025-10-23T02:54:07.448Z,153,1150,4199,487,1579,6016,3103,2889,11468,1961,2082,10758,Day_1,Medium,Fast,5mm,Experiment_2
2025-10-23T02:54:07.488Z,162,1140,4191,494,1577,6013,3079,2895,11450,1946,2090,10749,Day_1,Medium,Fast,5mm,Experiment_2
2025-10-23T02:54:07.528Z,167,1132,4186,500,1574,6005,3075,2897,11447,1940,2093,10742,Day_1,Medium,Fast,5mm,Experiment_2
2025-10-23T02:54:07.568Z,172,1128,4184,508,1571,5997,3088,2890,11463,1946,2091,10742,Day_1,Medium,Fast,5mm,Experiment_2
2025-10-23T02:54:07.608Z,179,1128,4183,516,1570,5991,3110,2878,11482,1959,2088,10745,Day_1,Medium,Fast,5mm,Experiment_2
2025-10-23T02:54:07.648Z,176,1131,4183,511,1572,5987,3132,2877,11491,1973,2089,10746,Day_1,Medium,Fast,5mm,Experiment_2
2025-10-23T02:54:07.688Z,162,1136,4180,496,1575,5984,3145,2897,11495,1982,2098,10749,Day_1,Medium,Fast,5mm,Experiment_2
2025-10-23T02:54:07.728Z,153,1142,4177,488,1576,5979,3137,2924,11505,1979,2109,10757,Day_1,Medium,Fast,5mm,Experiment_2
2025-10-23T02:54:07.768Z,156,1144,4177,492,1573,5979,3117,2937,11518,1968,2113,10763,Day_1,Medium,Fast,5mm,Experiment_2
2025-10-23T02:54:07.808Z,156,1143,4182,491,1568,5983,3106,2930,11528,1959,2108,10764,Day_1,Medium,Fast,5mm,Experiment_2
2025-10-23T02:54:57.110Z,148,1145,4184,481,1567,5986,3111,2911,11532,1957,2096,10763,Day_1,Medium,Fast,5mm,Experiment_2
2025-10-23T02:54:57.150Z,143,1149,4182,474,1571,5987,3117,2896,11524,1957,2084,10759,Day_1,Medium,Fast,5mm,Experiment_2
2025-10-23T02:54:57.190Z,147,1149,4184,477,1573,5990,3111,2896,11503,1953,2078,10751,Day_1,Medium,Fast,5mm,Experiment_2
2025-10-23T02:54:57.230Z,155,1141,4186,483,1572,5998,3101,2897,11485,1950,2076,10743,Day_1,Medium,Fast,5mm,Experiment_2
