time,Unpolarized_A_Green,Unpolarized_A_Red,Unpolarized_A_IR,Unpolarized_B_Green,Unpolarized_B_Red,Unpolarized_B_IR,Co-Polarized_Green,Co-Polarized_Red,Co-Polarized_IR,Cross-Polarized_Green,Cross-Polarized_Red,Cross-Polarized_IR,Day,SkinTone,Speed,Depth,Experiment
2025-10-23T02:05:34.788Z,102,1110,3045,420,1436,3854,3379,3234,13441,2160,2312,8424,Day_1,Medium,Intermediate,3.75mm,Experiment_2
2025-10-23T02:05:34.828Z,96,1112,3051,416,1440,3859,3374,3250,13382,2160,2318,8413,Day_1,Medium,Intermediate,3.75mm,Experiment_2
2025-10-23T02:05:34.868Z,95,1116,3051,413,1442,3854,3376,3254,13304,2165,2316,8402,Day_1,Medium,Intermediate,3.75mm,Experiment_2
2025-10-23T02:05:34.908Z,99,1118,3047,415,1442,3847,3381,3241,13185,2171,2308,8385,Day_1,Medium,Intermediate,3.75mm,Experiment_2
2025-10-23T02:05:34.948Z,102,1119,3044,417,1441,3845,3378,3228,13129,2173,2304,8379,Day_1,Medium,Intermediate,3.75mm,Experiment_2
2025-10-23T02:05:34.988Z,102,1122,3039,416,1442,3842,3377,3225,13241,2173,2306,8405,Day_1,Medium,Intermediate,3.75mm,Experiment_2
2025-10-23T02:05:35.028Z,100,1125,3030,414,1448,3837,3392,3228,13422,2176,2310,8446,Day_1,Medium,Intermediate,3.75mm,Experiment_2
2025-10-23T02:08:00.421Z,100,1127,3025,412,1453,3832,3409,3241,13567,2184,2320,8478,Day_1,Medium,Intermediate,3.75mm,Experiment_2
2025-10-23T02:08:00.461Z,103,1128,3028,412,1455,3834,3412,3262,13734,2188,2334,8508,Day_1,Medium,Intermediate,3.75mm,Experiment_2
2025-10-23T02:08:00.501Z,107,1131,3042,415,1454,3845,3407,3270,13979,2184,2339,8545,Day_1,Medium,Intermediate,3.75mm,Experiment_2
2025-10-23T02:08:00.541Z,107,1134,3056,416,1452,3858,3401,3253,14174,2177,2329,8573,Day_1,Medium,Intermediate,3.75mm,Experiment_2
2025-10-23T02:08:00.581Z,105,1137,3058,415,1452,3862,3392,3230,14324,2170,2315,8594,Day_1,Medium,Intermediate,3.75mm,Experiment_2
2025-10-23T02:08:00.621Z,102,1135,3050,412,1451,3856,3380,3220,14639,2165,2310,8646,Day_1,Medium,Intermediate,3.75mm,Experiment_2
2025-10-23T02:08:00.661Z,98,1130,3047,409,1448,3851,3372,3226,14829,2162,2317,8678,Day_1,Medium,Intermediate,3.75mm,Experiment_2
2025-10-23T02:08:00.701Z,97,1126,3066,410,1447,3852,3376,3240,14455,2165,2329,8619,Day_1,Medium,Intermediate,3.75mm,Experiment_2
2025-10-23T02:08:00.741Z,103,1125,3106,416,1449,3859,3386,3273,13863,2179,2353,8532,Day_1,Medium,Intermediate,3.75mm,Experiment_2
2025-10-23T02:08:00.781Z,113,1121,3130,427,1450,3863,3404,3330,13579,2201,2393,8511,Day_1,Medium,Intermediate,3.75mm,Experiment_2
2025-10-23T02:08:00.821Z,119,1117,3110,437,1449,3862,3427,3366,13617,2220,2419,8554,Day_1,Medium,Intermediate,3.75mm,Experiment_2
2025-10-23T02:08:00.861Z,118,1115,3075,437,1447,3860,3446,3341,13738,2223,2404,8603,Day_1,Medium,Intermediate,3.75mm,Experiment_2
2025-10-23T02:08:00.901Z,112,1116,3056,431,1445,3860,3455,3292,13807,2219,2371,8627,Day_1,Medium,Intermediate,3.75mm,Experiment_2
2025-10-23T02:08:00.941Z,108,1119,3054,425,1445,3862,3452,3270,13829,2214,2354,8635,Day_1,Medium,Intermediate,3.75mm,Experiment_2
2025-10-23T02:08:00.981Z,109,1123,3056,424,1447,3865,3438,3276,13835,2206,2354,8638,Day_1,Medium,Intermediate,3.75mm,Experiment_2
2025-10-23T02:08:01.021Z,110,1126,3060,425,1450,3866,3429,3287,13835,2198,2358,8636,Day_1,Medium,Intermediate,3.75mm,Experiment_2
2025-10-23T02:08:01.061Z,110,1124,3061,425,1449,3863,3432,3294,13833,2199,2362,8631,Day_1,Medium,Intermediate,3.75mm,Experiment_2
2025-10-23T02:08:01.101Z,105,1120,3059,423,1447,3860,3439,3296,13838,2204,2365,8633,Day_1,Medium,Intermediate,3.75mm,Experiment_2
2025-10-23T02:08:01.141Z,99,1118,3052,419,1447,3853,3442,3286,13843,2208,2362,8641,Day_1,Medium,Intermediate,3.75mm,Experiment_2
2025-10-23T02:08:01.181Z,97,1119,3043,415,1449,3847,3450,3267,13849,2213,2352,8649,Day_1,Medium,Intermediate,3.75mm,Experiment_2
2025-10-23T02:08:01.221Z,98,1124,3040,413,1454,3844,3462,3259,13857,2220,2348,8655,Day_1,Medium,Intermediate,3.75mm,Experiment_2
2025-10-23T02:08:01.261Z,98,1128,3046,411,1458,3850,3473,3264,13865,2223,2356,8654,Day_1,Medium,Intermediate,3.75mm,Experiment_2
