time,Unpolarized_A_Green,Unpolarized_A_Red,Unpolarized_A_IR,Unpolarized_B_Green,Unpolarized_B_Red,Unpolarized_B_IR,Co-Polarized_Green,Co-Polarized_Red,Co-Polarized_IR,Cross-Polarized_Green,Cross-Polarized_Red,Cross-Polarized_IR,Day,SkinTone,Speed,Depth,Experiment
2025-10-23T02:50:38.123Z,148,1142,4163,471,1563,5958,3143,2872,11439,1958,2058,10664,Day_1,Medium,Intermediate,5mm,Experiment_2
2025-10-23T02:50:38.163Z,149,1150,4164,476,1573,5950,3136,2902,11435,1958,2073,10669,Day_1,Medium,Intermediate,5mm,Experiment_2
2025-10-23T02:50:38.203Z,151,1153,4173,480,1579,5955,3129,2909,11428,1961,2081,10667,Day_1,Medium,Intermediate,5mm,Experiment_2
2025-10-23T02:50:38.243Z,153,1142,4182,482,1573,5964,3135,2901,11427,1967,2079,10662,Day_1,Medium,Intermediate,5mm,Experiment_2
2025-10-23T02:50:38.283Z,159,1129,4184,483,1565,5968,3143,2895,11433,1971,2074,10659,Day_1,Medium,Intermediate,5mm,Experiment_2
2025-10-23T02:50:38.323Z,162,1129,4179,483,1564,5965,3135,2893,11444,1970,2074,10661,Day_1,Medium,Intermediate,5mm,Experiment_2
2025-10-23T02:52:02.900Z,160,1138,4170,483,1570,5955,3114,2892,11452,1964,2077,10664,Day_1,Medium,Intermediate,5mm,Experiment_2
2025-10-23T02:52:02.940Z,159,1146,4161,487,1575,5942,3094,2896,11445,1955,2082,10664,Day_1,Medium,Intermediate,5mm,Experiment_2
2025-10-23T02:52:02.980Z,160,1148,4160,492,1575,5934,3089,2897,11430,1951,2083,10662,Day_1,Medium,Intermediate,5mm,Experiment_2
2025-10-23T02:52:03.020Z,162,1144,4166,494,1569,5936,3098,2886,11420,1954,2075,10661,Day_1,Medium,Intermediate,5mm,Experiment_2
2025-10-23T02:52:03.060Z,166,1140,4175,492,1562,5946,3112,2875,11417,1958,2064,10661,Day_1,Medium,Intermediate,5mm,Experiment_2
2025-10-23T02:52:03.100Z,166,1142,4183,487,1561,5957,3127,2878,11411,1959,2061,10660,Day_1,Medium,Intermediate,5mm,Experiment_2
2025-10-23T02:52:03.140Z,159,1148,4189,479,1567,5962,3136,2898,11406,1959,2069,10659,Day_1,Medium,Intermediate,5mm,Experiment_2
2025-10-23T02:52:03.180Z,152,1155,4196,476,1574,5965,3130,2925,11408,1957,2084,10659,Day_1,Medium,Intermediate,5mm,Experiment_2
2025-10-23T02:52:03.220Z,153,1156,4201,483,1580,5968,3115,2949,11427,1956,2103,10668,Day_1,Medium,Intermediate,5mm,Experiment_2
2025-10-23T02:52:03.260Z,164,1155,4199,496,1584,5968,3103,2968,11454,1959,2121,10688,Day_1,Medium,Intermediate,5mm,Experiment_2
2025-10-23T02:52:03.300Z,172,1159,4191,503,1591,5968,3096,2970,11468,1960,2124,10710,Day_1,Medium,Intermediate,5mm,Experiment_2
2025-10-23T02:52:03.340Z,168,1166,4182,498,1600,5976,3087,2946,11463,1955,2110,10723,Day_1,Medium,Intermediate,5mm,Experiment_2
2025-10-23T02:52:03.380Z,161,1166,4178,490,1602,5990,3082,2918,11455,1952,2094,10728,Day_1,Medium,Intermediate,5mm,Experiment_2
2025-10-23T02:52:03.420Z,164,1155,4180,492,1595,6002,3085,2908,11451,1954,2090,10731,Day_1,Medium,Intermediate,5mm,Experiment_2
2025-10-23T02:52:03.460Z,172,1142,4180,502,1587,6000,3092,2912,11447,1957,2093,10730,Day_1,Medium,Intermediate,5mm,Experiment_2
2025-10-23T02:52:03.500Z,174,1135,4174,508,1582,5987,3100,2919,11446,1960,2098,10728,Day_1,Medium,Intermediate,5mm,Experiment_2
2025-10-23T02:52:03.540Z,170,1134,4166,507,1579,5976,3108,2922,11453,1965,2101,10729,Day_1,Medium,Intermediate,5mm,Experiment_2
2025-10-23T02:52:03.580Z,166,1138,4163,502,1577,5974,3108,2919,11460,1968,2100,10734,Day_1,Medium,Intermediate,5mm,Experiment_2
2025-10-23T02:52:03.620Z,168,1149,4164,503,1578,5977,3101,2914,11453,1967,2099,10736,Day_1,Medium,Intermediate,5mm,Experiment_2
2025-10-23T02:52:03.660Z,175,1158,4163,508,1579,5976,3092,2914,11433,1962,2098,10728,Day_1,Medium,Intermediate,5mm,Experiment_2
2025-10-23T02:52:03.700Z,176,1158,4160,512,1574,5969,3085,2917,11418,1954,2094,10716,Day_1,Medium,Intermediate,5mm,Experiment_2
