time,Unpolarized_A_Green,Unpolarized_A_Red,Unpolarized_A_IR,Unpolarized_B_Green,Unpolarized_B_Red,Unpolarized_B_IR,Co-Polarized_Green,Co-Polarized_Red,Co-Polarized_IR,Cross-Polarized_Green,Cross-Polarized_Red,Cross-Polarized_IR,Day,SkinTone,Speed,Depth,Experiment
2025-10-23T00:49:32.903Z,292,1535,5625,605,1901,6657,3398,3485,14201,2614,3094,13550,Day_1,Medium,Slow,2.5mm,Experiment_2
2025-10-23T00:49:32.943Z,286,1532,5619,604,1898,6663,3397,3461,14190,2616,3091,13559,Day_1,Medium,Slow,2.5mm,Experiment_2
2025-10-23T00:49:32.983Z,289,1528,5627,607,1889,6659,3396,3443,14200,2618,3081,13548,Day_1,Medium,Slow,2.5mm,Experiment_2
2025-10-23T00:49:33.023Z,298,1523,5638,610,1879,6644,3395,3439,14240,2622,3071,13538,Day_1,Medium,Slow,2.5mm,Experiment_2
2025-10-23T00:49:33.063Z,306,1519,5638,611,1872,6621,3396,3455,14278,2626,3073,13539,Day_1,Medium,Slow,2.5mm,Experiment_2
2025-10-23T00:49:33.103Z,308,1516,5630,608,1868,6600,3403,3485,14299,2631,3086,13546,Day_1,Medium,Slow,2.5mm,Experiment_2
2025-10-23T00:49:33.143Z,304,1517,5624,601,1865,6585,3408,3508,14313,2636,3099,13556,Day_1,Medium,Slow,2.5mm,Experiment_2
2025-10-23T00:49:33.183Z,296,1519,5620,593,1863,6574,3403,3511,14319,2636,3101,13565,Day_1,Medium,Slow,2.5mm,Experiment_2
2025-10-23T00:49:33.223Z,285,1519,5613,585,1863,6567,3388,3494,14307,2632,3092,13571,Day_1,Medium,Slow,2.5mm,Experiment_2
2025-10-23T00:49:33.263Z,279,1515,5610,582,1866,6576,3373,3463,14279,2623,3079,13575,Day_1,Medium,Slow,2.5mm,Experiment_2
2025-10-23T00:49:33.303Z,282,1509,5609,588,1876,6609,3373,3435,14217,2619,3075,13580,Day_1,Medium,Slow,2.5mm,Experiment_2
