time,Unpolarized_A_Green,Unpolarized_A_Red,Unpolarized_A_IR,Unpolarized_B_Green,Unpolarized_B_Red,Unpolarized_B_IR,Co-Polarized_Green,Co-Polarized_Red,Co-Polarized_IR,Cross-Polarized_Green,Cross-Polarized_Red,Cross-Polarized_IR,Day,SkinTone,Speed,Depth,Experiment
2025-10-23T02:50:28.201Z,164,1149,4168,471,1561,5951,3114,2919,11272,1972,2086,10613,Day_1,Medium,Slow,5mm,Experiment_2
2025-10-23T02:50:28.241Z,172,1153,4160,483,1566,5943,3107,2910,11077,1968,2081,10575,Day_1,Medium,Slow,5mm,Experiment_2
2025-10-23T02:50:28.281Z,173,1154,4152,491,1569,5936,3108,2900,10963,1964,2072,10553,Day_1,Medium,Slow,5mm,Experiment_2
2025-10-23T02:50:28.321Z,172,1153,4153,497,1569,5938,3118,2898,11073,1963,2069,10574,Day_1,Medium,Slow,5mm,Experiment_2
2025-10-23T02:50:28.361Z,171,1153,4167,497,1568,5949,3130,2899,11271,1966,2070,10614,Day_1,Medium,Slow,5mm,Experiment_2
2025-10-23T02:50:28.401Z,171,1152,4180,495,1566,5961,3137,2898,11409,1967,2070,10643,Day_1,Medium,Slow,5mm,Experiment_2
2025-10-23T02:50:28.441Z,171,1153,4185,491,1563,5965,3136,2897,11533,1964,2069,10673,Day_1,Medium,Slow,5mm,Experiment_2
2025-10-23T02:50:28.481Z,167,1157,4185,487,1562,5962,3124,2896,11692,1958,2071,10710,Day_1,Medium,Slow,5mm,Experiment_2
2025-10-23T02:50:28.521Z,164,1163,4188,484,1562,5962,3111,2905,11834,1950,2077,10737,Day_1,Medium,Slow,5mm,Experiment_2
2025-10-23T02:50:28.561Z,164,1166,4193,486,1559,5964,3112,2923,12015,1948,2084,10763,Day_1,Medium,Slow,5mm,Experiment_2
2025-10-23T02:50:28.601Z,165,1161,4196,491,1555,5964,3121,2931,12356,1951,2087,10818,Day_1,Medium,Slow,5mm,Experiment_2
2025-10-23T02:50:28.641Z,167,1153,4192,494,1557,5960,3125,2915,12547,1952,2080,10848,Day_1,Medium,Slow,5mm,Experiment_2
2025-10-23T02:50:28.681Z,169,1149,4187,491,1565,5958,3127,2889,12237,1956,2070,10786,Day_1,Medium,Slow,5mm,Experiment_2
2025-10-23T02:50:28.721Z,165,1153,4183,482,1575,5961,3135,2877,11745,1965,2067,10695,Day_1,Medium,Slow,5mm,Experiment_2
2025-10-23T02:50:28.761Z,156,1158,4190,473,1584,5969,3138,2883,11477,1974,2073,10646,Day_1,Medium,Slow,5mm,Experiment_2
2025-10-23T02:50:28.801Z,152,1160,4234,473,1590,5978,3128,2885,11414,1976,2077,10630,Day_1,Medium,Slow,5mm,Experiment_2
2025-10-23T02:50:28.841Z,156,1159,4318,477,1590,5983,3116,2870,11413,1975,2072,10623,Day_1,Medium,Slow,5mm,Experiment_2
2025-10-23T02:50:28.881Z,162,1152,4369,479,1582,5982,3114,2854,11324,1972,2063,10601,Day_1,Medium,Slow,5mm,Experiment_2
2025-10-23T02:50:28.921Z,163,1138,4322,479,1569,5974,3120,2855,10940,1967,2057,10528,Day_1,Medium,Slow,5mm,Experiment_2
2025-10-23T02:50:28.961Z,162,1126,4238,480,1561,5963,3127,2866,10273,1961,2054,10405,Day_1,Medium,Slow,5mm,Experiment_2
2025-10-23T02:50:29.001Z,164,1120,4191,484,1559,5955,3137,2878,9906,1960,2058,10344,Day_1,Medium,Slow,5mm,Experiment_2
2025-10-23T02:50:29.041Z,170,1121,4181,490,1559,5951,3145,2898,10274,1961,2070,10424,Day_1,Medium,Slow,5mm,Experiment_2
2025-10-23T02:50:29.081Z,171,1124,4185,493,1560,5954,3145,2918,10871,1961,2084,10542,Day_1,Medium,Slow,5mm,Experiment_2
2025-10-23T02:50:29.121Z,164,1130,4188,490,1562,5961,3149,2929,11173,1969,2092,10597,Day_1,Medium,Slow,5mm,Experiment_2
2025-10-23T02:50:29.161Z,154,1136,4177,485,1566,5965,3157,2927,11291,1987,2095,10618,Day_1,Medium,Slow,5mm,Experiment_2
2025-10-23T02:50:29.201Z,149,1140,4151,484,1571,5960,3143,2926,11397,2003,2092,10643,Day_1,Medium,Slow,5mm,Experiment_2
2025-10-23T02:50:29.241Z,151,1143,4130,488,1577,5951,3109,2930,11487,1998,2090,10663,Day_1,Medium,Slow,5mm,Experiment_2
2025-10-23T02:50:29.281Z,155,1149,4135,489,1584,5942,3081,2931,11569,1976,2088,10675,Day_1,Medium,Slow,5mm,Experiment_2
2025-10-23T02:50:29.321Z,154,1161,4153,481,1592,5937,3074,2918,11679,1957,2087,10694,Day_1,Medium,Slow,5mm,Experiment_2
