Participant,Channel,Hardware Channel,Metric,Mean,Std,Day,SkinTone,Speed,Depth,Experiment
Medium_Fast_3.75mm,Unpolarized_A_Green,C5,PI,-181.3211973919404,61.51037218206517,Day_1,Medium,Fast,3.75mm,Experiment_2
Medium_Fast_3.75mm,Unpolarized_A_Red,C2,PI,-164.09506803677124,123.31945066397728,Day_1,Medium,Fast,3.75mm,Experiment_2
Medium_Fast_3.75mm,Unpolarized_A_IR,C4,PI,-262.62718405130863,0.0,Day_1,Medium,Fast,3.75mm,Experiment_2
Medium_Fast_3.75mm,Unpolarized_B_Green,C11,PI,,,Day_1,Medium,Fast,3.75mm,Experiment_2
Medium_Fast_3.75mm,Unpolarized_B_Red,C8,PI,,,Day_1,Medium,Fast,3.75mm,Experiment_2
Medium_Fast_3.75mm,Unpolarized_B_IR,C10,PI,-224.02022265077477,0.0,Day_1,Medium,Fast,3.75mm,Experiment_2
Medium_Fast_3.75mm,Co-Polarized_Green,C13,PI,-216.09365844210083,31.487984458143337,Day_1,Medium,Fast,3.75mm,Experiment_2
Medium_Fast_3.75mm,Co-Polarized_Red,C12,PI,-206.7345161983357,69.01476060553587,Day_1,Medium,Fast,3.75mm,Experiment_2
Medium_Fast_3.75mm,Co-Polarized_IR,C15,PI,-248.08432610575684,210.5041199976463,Day_1,Medium,Fast,3.75mm,Experiment_2
Medium_Fast_3.75mm,Cross-Polarized_Green,C19,PI,-235.55897613173437,0.0,Day_1,Medium,Fast,3.75mm,Experiment_2
Medium_Fast_3.75mm,Cross-Polarized_Red,C18,PI,-230.23130028100164,17.32037779191895,Day_1,Medium,Fast,3.75mm,Experiment_2
Medium_Fast_3.75mm,Cross-Polarized_IR,C21,PI,-206.6908953519999,44.45062860275729,Day_1,Medium,Fast,3.75mm,Experiment_2
Medium_Slow_2.5mm,Unpolarized_A_Green,C5,PI,-165.3180194436484,53.642139384271914,Day_1,Medium,Slow,2.5mm,Experiment_2
Medium_Slow_2.5mm,Unpolarized_A_Red,C2,PI,-205.68514691872412,173.85200436329552,Day_1,Medium,Slow,2.5mm,Experiment_2
Medium_Slow_2.5mm,Unpolarized_A_IR,C4,PI,-124.85896507352632,176.5275605360093,Day_1,Medium,Slow,2.5mm,Experiment_2
Medium_Slow_2.5mm,Unpolarized_B_Green,C11,PI,-269.1363914088283,0.0,Day_1,Medium,Slow,2.5mm,Experiment_2
Medium_Slow_2.5mm,Unpolarized_B_Red,C8,PI,-221.09849543778185,41.23016764821414,Day_1,Medium,Slow,2.5mm,Experiment_2
Medium_Slow_2.5mm,Unpolarized_B_IR,C10,PI,-212.6637648884657,19.388871041864995,Day_1,Medium,Slow,2.5mm,Experiment_2
Medium_Slow_2.5mm,Co-Polarized_Green,C13,PI,-1156.0062739003936,3064.4834327537437,Day_1,Medium,Slow,2.5mm,Experiment_2
Medium_Slow_2.5mm,Co-Polarized_Red,C12,PI,-185.67184881565453,120.94408736169552,Day_1,Medium,Slow,2.5mm,Experiment_2
Medium_Slow_2.5mm,Co-Polarized_IR,C15,PI,-288.8276910181165,322.3854512868392,Day_1,Medium,Slow,2.5mm,Experiment_2
Medium_Slow_2.5mm,Cross-Polarized_Green,C19,PI,-208.46046225287552,31.76960136059451,Day_1,Medium,Slow,2.5mm,Experiment_2
Medium_Slow_2.5mm,Cross-Polarized_Red,C18,PI,-183.6613023362247,21.40147156853403,Day_1,Medium,Slow,2.5mm,Experiment_2
Medium_Slow_2.5mm,Cross-Polarized_IR,C21,PI,-189.36668765725665,21.25305058355123,Day_1,Medium,Slow,2.5mm,Experiment_2
Medium_Slow_5mm,Unpolarized_A_Green,C5,PI,,,Day_1,Medium,Slow,5mm,Experiment_2
Medium_Slow_5mm,Unpolarized_A_Red,C2,PI,,,Day_1,Medium,Slow,5mm,Experiment_2
Medium_Slow_5mm,Unpolarized_A_IR,C4,PI,,,Day_1,Medium,Slow,5mm,Experiment_2
Medium_Slow_5mm,Unpolarized_B_Green,C11,PI,,,Day_1,Medium,Slow,5mm,Experiment_2
