Channel,Hardware Channel,WindowStartIdx,WindowEndIdx,WindowStartSec,WindowEndSec,Mean,Std,Skewness,Day,SkinTone,Speed,Depth,Experiment
Unpolarized_A_Green,C5,0,250,0.0,10.0,-1.1368683772161603e-16,5.157665351306798,0.2797150061303176,Day_2,Dark,Fast,2.5mm,Experiment_2
Unpolarized_A_Green,C5,25,275,1.0,11.0,5.684341886080802e-17,5.822858364341436,0.255393810817926,Day_2,Dark,Fast,2.5mm,Experiment_2
Unpolarized_A_Green,C5,50,300,2.0,12.0,5.684341886080802e-17,5.889158374552446,0.142045479043037,Day_2,Dark,Fast,2.5mm,Experiment_2
Unpolarized_A_Green,C5,75,325,3.0,13.0,9.592326932761351e-17,5.922254181203394,0.16937204842747,Day_2,Dark,Fast,2.5mm,Experiment_2
Unpolarized_A_Green,C5,100,350,4.0,14.0,-1.2789769243681802e-16,6.313249106008174,0.1304819512515159,Day_2,Dark,Fast,2.5mm,Experiment_2
Unpolarized_A_Green,C5,125,375,5.0,15.0,3.037570195374428e-16,6.364482797154963,0.212041776586638,Day_2,Dark,Fast,2.5mm,Experiment_2
Unpolarized_A_Green,C5,150,400,6.0,16.0,3.019806626980426e-17,5.869269237165735,-0.0739972857713196,Day_2,Dark,Fast,2.5mm,Experiment_2
Unpolarized_A_Green,C5,175,425,7.0,17.0,7.105427357601002e-17,5.645880687945275,-0.1885941380054629,Day_2,Dark,Fast,2.5mm,Experiment_2
Unpolarized_A_Green,C5,200,450,8.0,18.0,-2.842170943040401e-17,5.858229614491315,-0.296876233533078,Day_2,Dark,Fast,2.5mm,Experiment_2
Unpolarized_A_Green,C5,225,475,9.0,19.0,-2.913225216616411e-16,5.620541010721241,-0.4354321589777249,Day_2,Dark,Fast,2.5mm,Experiment_2
Unpolarized_A_Green,C5,250,500,10.0,20.0,-7.105427357601002e-18,5.675583378303624,-0.2094696257786743,Day_2,Dark,Fast,2.5mm,Experiment_2
Unpolarized_A_Green,C5,275,525,11.0,21.0,1.4210854715202004e-16,5.766454249321349,-0.1937629256956154,Day_2,Dark,Fast,2.5mm,Experiment_2
Unpolarized_A_Green,C5,300,550,12.0,22.0,-4.1211478674085813e-16,7.196323901541661,-0.199056718232096,Day_2,Dark,Fast,2.5mm,Experiment_2
Unpolarized_A_Green,C5,325,575,13.0,23.0,5.684341886080802e-17,6.4211125621476555,-0.2731599204716241,Day_2,Dark,Fast,2.5mm,Experiment_2
Unpolarized_A_Green,C5,350,600,14.0,24.0,2.842170943040401e-17,6.5030329799480855,-0.2821542826603981,Day_2,Dark,Fast,2.5mm,Experiment_2
Unpolarized_A_Green,C5,375,625,15.0,25.0,-1.1368683772161603e-16,6.1510970320620855,-0.2080601030466899,Day_2,Dark,Fast,2.5mm,Experiment_2
Unpolarized_A_Green,C5,400,650,16.0,26.0,-2.842170943040401e-17,6.322699778755812,-0.1407076864653094,Day_2,Dark,Fast,2.5mm,Experiment_2
Unpolarized_A_Green,C5,425,675,17.0,27.0,3.1263880373444406e-16,6.708166892010422,-0.2241230801678496,Day_2,Dark,Fast,2.5mm,Experiment_2
Unpolarized_A_Green,C5,450,700,18.0,28.0,1.2789769243681802e-16,6.567026534427434,-0.2464419002542136,Day_2,Dark,Fast,2.5mm,Experiment_2
Unpolarized_A_Green,C5,475,725,19.0,29.0,-2.7711166694643907e-16,7.984624511843191,-0.2500608636142146,Day_2,Dark,Fast,2.5mm,Experiment_2
