Participant,Channel,Hardware Channel,Metric,Mean,Std,Day,SkinTone,Speed,Depth,Experiment,Mean PI,Std PI
Dark_Fast_3.75mm,Unpolarized_A_Green,C5,PI,-246.97121895065015,20.123996410436305,Day_2,Dark,Fast,3.75mm,Experiment_2,,
Dark_Fast_3.75mm,Unpolarized_A_Red,C2,PI,-183.7278159003886,80.82235601875054,Day_2,Dark,Fast,3.75mm,Experiment_2,,
Dark_Fast_3.75mm,Unpolarized_A_IR,C4,PI,,,Day_2,Dark,Fast,3.75mm,Experiment_2,,
Dark_Fast_3.75mm,Unpolarized_B_Green,C11,PI,,,Day_2,Dark,Fast,3.75mm,Experiment_2,,
Dark_Fast_3.75mm,Unpolarized_B_Red,C8,PI,-211.48107957371533,0.0,Day_2,Dark,Fast,3.75mm,Experiment_2,,
Dark_Fast_3.75mm,Unpolarized_B_IR,C10,PI,,,Day_2,Dark,Fast,3.75mm,Experiment_2,,
Dark_Fast_3.75mm,Co-Polarized_Green,C13,PI,-4240.739005865745,14025.235751397147,Day_2,Dark,Fast,3.75mm,Experiment_2,,
Dark_Fast_3.75mm,Co-Polarized_Red,C12,PI,-267.4249911972998,228.9934212898636,Day_2,Dark,Fast,3.75mm,Experiment_2,,
Dark_Fast_3.75mm,Co-Polarized_IR,C15,PI,-224.8744740947074,70.96706990939396,Day_2,Dark,Fast,3.75mm,Experiment_2,,
Dark_Fast_3.75mm,Cross-Polarized_Green,C19,PI,-272.13252874636464,0.0,Day_2,Dark,Fast,3.75mm,Experiment_2,,
Dark_Fast_3.75mm,Cross-Polarized_Red,C18,PI,-225.95973042104703,93.84149074859025,Day_2,Dark,Fast,3.75mm,Experiment_2,,
Dark_Fast_3.75mm,Cross-Polarized_IR,C21,PI,-270.8357065453863,48.23286465177614,Day_2,Dark,Fast,3.75mm,Experiment_2,,
Dark_Slow_2.5mm,Unpolarized_A_Green,C5,PI,-167.52949383645074,57.35633486757623,Day_2,Dark,Slow,2.5mm,Experiment_2,,
Dark_Slow_2.5mm,Unpolarized_A_Red,C2,PI,-244.37620617853636,79.50306735286898,Day_2,Dark,Slow,2.5mm,Experiment_2,,
Dark_Slow_2.5mm,Unpolarized_A_IR,C4,PI,,,Day_2,Dark,Slow,2.5mm,Experiment_2,,
Dark_Slow_2.5mm,Unpolarized_B_Green,C11,PI,,,Day_2,Dark,Slow,2.5mm,Experiment_2,,
Dark_Slow_2.5mm,Unpolarized_B_Red,C8,PI,-191.50865618377316,44.92286679773907,Day_2,Dark,Slow,2.5mm,Experiment_2,,
Dark_Slow_2.5mm,Unpolarized_B_IR,C10,PI,-212.608818647836,45.15750211343144,Day_2,Dark,Slow,2.5mm,Experiment_2,,
Dark_Slow_2.5mm,Co-Polarized_Green,C13,PI,-230.29814826681135,98.12861524744248,Day_2,Dark,Slow,2.5mm,Experiment_2,,
Dark_Slow_2.5mm,Co-Polarized_Red,C12,PI,-329.5737349021806,452.770022244151,Day_2,Dark,Slow,2.5mm,Experiment_2,,
Dark_Slow_2.5mm,Co-Polarized_IR,C15,PI,-206.1208463634532,51.221745000363434,Day_2,Dark,Slow,2.5mm,Experiment_2,,
Dark_Slow_2.5mm,Cross-Polarized_Green,C19,PI,-202.68123387965304,24.60423656874099,Day_2,Dark,Slow,2.5mm,Experiment_2,,
Dark_Slow_2.5mm,Cross-Polarized_Red,C18,PI,-196.97871621509887,29.15200427440421,Day_2,Dark,Slow,2.5mm,Experiment_2,,
Dark_Slow_2.5mm,Cross-Polarized_IR,C21,PI,-202.54591407893565,33.29285814017793,Day_2,Dark,Slow,2.5mm,Experiment_2,,
Dark_Intermediate_5mm,Unpolarized_A_Green,C5,PI,-173.05862050107223,47.23197235994622,Day_2,Dark,Intermediate,5mm,Experiment_2,,
Dark_Intermediate_5mm,Unpolarized_A_Red,C2,PI,-241.502611638902,74.6255405886012,Day_2,Dark,Intermediate,5mm,Experiment_2,,
Dark_Intermediate_5mm,Unpolarized_A_IR,C4,PI,-192.51736797122348,51.30843928510115,Day_2,Dark,Intermediate,5mm,Experiment_2,,
Dark_Intermediate_5mm,Unpolarized_B_Green,C11,PI,-205.2108803964037,5.871100271046032,Day_2,Dark,Intermediate,5mm,Experiment_2,,
Dark_Intermediate_5mm,Unpolarized_B_Red,C8,PI,,,Day_2,Dark,Intermediate,5mm,Experiment_2,,
Dark_Intermediate_5mm,Unpolarized_B_IR,C10,PI,,,Day_2,Dark,Intermediate,5mm,Experiment_2,,
Dark_Intermediate_5mm,Co-Polarized_Green,C13,PI,-191.09225826660975,43.90452172115753,Day_2,Dark,Intermediate,5mm,Experiment_2,,
Dark_Intermediate_5mm,Co-Polarized_Red,C12,PI,-129.84108560028568,202.23980267036617,Day_2,Dark,Intermediate,5mm,Experiment_2,,
Dark_Intermediate_5mm,Co-Polarized_IR,C15,PI,-192.24942018964416,77.33366471831218,Day_2,Dark,Intermediate,5mm,Experiment_2,,
Dark_Intermediate_5mm,Cross-Polarized_Green,C19,PI,-197.0715786516824,47.16238663337379,Day_2,Dark,Intermediate,5mm,Experiment_2,,
Dark_Intermediate_5mm,Cross-Polarized_Red,C18,PI,-208.39350520024385,51.36140488765881,Day_2,Dark,Intermediate,5mm,Experiment_2,,
Dark_Intermediate_5mm,Cross-Polarized_IR,C21,PI,-211.07942723705432,55.62305915569732,Day_2,Dark,Intermediate,5mm,Experiment_2,,
Dark_Fast_5mm,Unpolarized_A_Green,C5,PI,-218.49401405574147,19.27146601515335,Day_2,Dark,Fast,5mm,Experiment_2,,
Dark_Fast_5mm,Unpolarized_A_Red,C2,PI,-241.08761744502044,91.67712117239364,Day_2,Dark,Fast,5mm,Experiment_2,,
Dark_Fast_5mm,Unpolarized_A_IR,C4,PI,-141.2543859724759,35.69769700293636,Day_2,Dark,Fast,5mm,Experiment_2,,
Dark_Fast_5mm,Unpolarized_B_Green,C11,PI,,,Day_2,Dark,Fast,5mm,Experiment_2,,
Dark_Fast_5mm,Unpolarized_B_Red,C8,PI,-219.2374202333428,0.0,Day_2,Dark,Fast,5mm,Experiment_2,,
Dark_Fast_5mm,Unpolarized_B_IR,C10,PI,,,Day_2,Dark,Fast,5mm,Experiment_2,,
Dark_Fast_5mm,Co-Polarized_Green,C13,PI,-169.03832161733237,54.379529904534024,Day_2,Dark,Fast,5mm,Experiment_2,,
Dark_Fast_5mm,Co-Polarized_Red,C12,PI,-186.2204021597677,41.51138800902835,Day_2,Dark,Fast,5mm,Experiment_2,,
Dark_Fast_5mm,Co-Polarized_IR,C15,PI,-271.19983008647625,609.4079041432783,Day_2,Dark,Fast,5mm,Experiment_2,,
Dark_Fast_5mm,Cross-Polarized_Green,C19,PI,-271.81701593471354,48.795789395471715,Day_2,Dark,Fast,5mm,Experiment_2,,
Dark_Fast_5mm,Cross-Polarized_Red,C18,PI,-214.0834866010597,35.50018519530204,Day_2,Dark,Fast,5mm,Experiment_2,,
Dark_Fast_5mm,Cross-Polarized_IR,C21,PI,-193.44172093360424,36.09110255436771,Day_2,Dark,Fast,5mm,Experiment_2,,
Dark_Intermediate_2.5mm,Unpolarized_A_Green,C5,PI,-201.48672566676817,33.37343516828372,Day_2,Dark,Intermediate,2.5mm,Experiment_2,,
Dark_Intermediate_2.5mm,Unpolarized_A_Red,C2,PI,-219.89402898226945,42.03468191780298,Day_2,Dark,Intermediate,2.5mm,Experiment_2,,
Dark_Intermediate_2.5mm,Unpolarized_A_IR,C4,PI,-151.15641550835414,0.129295603809453,Day_2,Dark,Intermediate,2.5mm,Experiment_2,,
Dark_Intermediate_2.5mm,Unpolarized_B_Green,C11,PI,,,Day_2,Dark,Intermediate,2.5mm,Experiment_2,,
Dark_Intermediate_2.5mm,Unpolarized_B_Red,C8,PI,-201.77800917561112,0.0,Day_2,Dark,Intermediate,2.5mm,Experiment_2,,
Dark_Intermediate_2.5mm,Unpolarized_B_IR,C10,PI,-182.7284883943852,18.689383645183216,Day_2,Dark,Intermediate,2.5mm,Experiment_2,,
Dark_Intermediate_2.5mm,Co-Polarized_Green,C13,PI,-218.10611128551085,52.103873906569035,Day_2,Dark,Intermediate,2.5mm,Experiment_2,,
Dark_Intermediate_2.5mm,Co-Polarized_Red,C12,PI,-218.81827736571452,55.09327951608147,Day_2,Dark,Intermediate,2.5mm,Experiment_2,,
Dark_Intermediate_2.5mm,Co-Polarized_IR,C15,PI,-202.87846750518256,28.66067706516016,Day_2,Dark,Intermediate,2.5mm,Experiment_2,,
Dark_Intermediate_2.5mm,Cross-Polarized_Green,C19,PI,-207.95267013306443,42.07807830672512,Day_2,Dark,Intermediate,2.5mm,Experiment_2,,
Dark_Intermediate_2.5mm,Cross-Polarized_Red,C18,PI,-204.4115315348282,28.572783023518465,Day_2,Dark,Intermediate,2.5mm,Experiment_2,,
Dark_Intermediate_2.5mm,Cross-Polarized_IR,C21,PI,-205.99318922344943,35.24012971905135,Day_2,Dark,Intermediate,2.5mm,Experiment_2,,
Dark_Intermediate_3.75mm,Unpolarized_A_Green,C5,PI,-212.82817929265337,61.921093686999825,Day_2,Dark,Intermediate,3.75mm,Experiment_2,,
Dark_Intermediate_3.75mm,Unpolarized_A_Red,C2,PI,,,Day_2,Dark,Intermediate,3.75mm,Experiment_2,,
Dark_Intermediate_3.75mm,Unpolarized_A_IR,C4,PI,-216.986724549335,0.0,Day_2,Dark,Intermediate,3.75mm,Experiment_2,,
Dark_Intermediate_3.75mm,Unpolarized_B_Green,C11,PI,-202.98749576387536,3.9085324138225137,Day_2,Dark,Intermediate,3.75mm,Experiment_2,,
Dark_Intermediate_3.75mm,Unpolarized_B_Red,C8,PI,,,Day_2,Dark,Intermediate,3.75mm,Experiment_2,,
Dark_Intermediate_3.75mm,Unpolarized_B_IR,C10,PI,,,Day_2,Dark,Intermediate,3.75mm,Experiment_2,,
Dark_Intermediate_3.75mm,Co-Polarized_Green,C13,PI,-220.77965325252111,67.15015702762334,Day_2,Dark,Intermediate,3.75mm,Experiment_2,,
Dark_Intermediate_3.75mm,Co-Polarized_Red,C12,PI,-211.5005798421481,18.787305417845868,Day_2,Dark,Intermediate,3.75mm,Experiment_2,,
Dark_Intermediate_3.75mm,Co-Polarized_IR,C15,PI,-212.38223469952808,33.31843293357965,Day_2,Dark,Intermediate,3.75mm,Experiment_2,,
Dark_Intermediate_3.75mm,Cross-Polarized_Green,C19,PI,-173.99699329836233,26.661275637245,Day_2,Dark,Intermediate,3.75mm,Experiment_2,,
Dark_Intermediate_3.75mm,Cross-Polarized_Red,C18,PI,-209.93787526733232,18.633588055045134,Day_2,Dark,Intermediate,3.75mm,Experiment_2,,
Dark_Intermediate_3.75mm,Cross-Polarized_IR,C21,PI,-210.2239600846572,32.56916784846842,Day_2,Dark,Intermediate,3.75mm,Experiment_2,,
Dark_Slow_5mm,Unpolarized_A_Green,C5,PI,,,Day_2,Dark,Slow,5mm,Experiment_2,,
Dark_Slow_5mm,Unpolarized_A_Red,C2,PI,-212.96132616777217,47.77337285885388,Day_2,Dark,Slow,5mm,Experiment_2,,
Dark_Slow_5mm,Unpolarized_A_IR,C4,PI,-234.28531497088284,0.0,Day_2,Dark,Slow,5mm,Experiment_2,,
Dark_Slow_5mm,Unpolarized_B_Green,C11,PI,-193.84132653784332,8.814612678608743,Day_2,Dark,Slow,5mm,Experiment_2,,
Dark_Slow_5mm,Unpolarized_B_Red,C8,PI,-224.70189733728404,13.768507484232131,Day_2,Dark,Slow,5mm,Experiment_2,,
Dark_Slow_5mm,Unpolarized_B_IR,C10,PI,,,Day_2,Dark,Slow,5mm,Experiment_2,,
Dark_Slow_5mm,Co-Polarized_Green,C13,PI,-200.40919379240896,53.81230231126897,Day_2,Dark,Slow,5mm,Experiment_2,,
Dark_Slow_5mm,Co-Polarized_Red,C12,PI,-226.45860306044764,58.300083402714165,Day_2,Dark,Slow,5mm,Experiment_2,,
Dark_Slow_5mm,Co-Polarized_IR,C15,PI,-220.5962745714319,46.050223362735686,Day_2,Dark,Slow,5mm,Experiment_2,,
Dark_Slow_5mm,Cross-Polarized_Green,C19,PI,-217.91703556070516,42.89640168772135,Day_2,Dark,Slow,5mm,Experiment_2,,
Dark_Slow_5mm,Cross-Polarized_Red,C18,PI,-205.71260470194588,27.85462803952474,Day_2,Dark,Slow,5mm,Experiment_2,,
Dark_Slow_5mm,Cross-Polarized_IR,C21,PI,-208.23447478909108,15.701976740065795,Day_2,Dark,Slow,5mm,Experiment_2,,
Dark_Slow_3.75mm,Unpolarized_A_Green,C5,PI,,,Day_2,Dark,Slow,3.75mm,Experiment_2,,
Dark_Slow_3.75mm,Unpolarized_A_Red,C2,PI,,,Day_2,Dark,Slow,3.75mm,Experiment_2,,
Dark_Slow_3.75mm,Unpolarized_A_IR,C4,PI,-211.4595861860711,23.207569012240825,Day_2,Dark,Slow,3.75mm,Experiment_2,,
Dark_Slow_3.75mm,Unpolarized_B_Green,C11,PI,,,Day_2,Dark,Slow,3.75mm,Experiment_2,,
Dark_Slow_3.75mm,Unpolarized_B_Red,C8,PI,,,Day_2,Dark,Slow,3.75mm,Experiment_2,,
Dark_Slow_3.75mm,Unpolarized_B_IR,C10,PI,,,Day_2,Dark,Slow,3.75mm,Experiment_2,,
Dark_Slow_3.75mm,Co-Polarized_Green,C13,PI,-213.97979504855795,43.8027254501528,Day_2,Dark,Slow,3.75mm,Experiment_2,,
Dark_Slow_3.75mm,Co-Polarized_Red,C12,PI,-236.51134099027453,42.15836231973661,Day_2,Dark,Slow,3.75mm,Experiment_2,,
Dark_Slow_3.75mm,Co-Polarized_IR,C15,PI,-206.1533110411225,45.662935936574904,Day_2,Dark,Slow,3.75mm,Experiment_2,,
Dark_Slow_3.75mm,Cross-Polarized_Green,C19,PI,-227.78645653758673,54.261688083717125,Day_2,Dark,Slow,3.75mm,Experiment_2,,
Dark_Slow_3.75mm,Cross-Polarized_Red,C18,PI,-208.04681432186447,22.46338744454725,Day_2,Dark,Slow,3.75mm,Experiment_2,,
Dark_Slow_3.75mm,Cross-Polarized_IR,C21,PI,-225.90044527451695,18.20211708640487,Day_2,Dark,Slow,3.75mm,Experiment_2,,
Dark_Fast_2.5mm,Unpolarized_A_Green,C5,PI,,,Day_2,Dark,Fast,2.5mm,Experiment_2,,
Dark_Fast_2.5mm,Unpolarized_A_Red,C2,PI,-335.17499884299787,0.0,Day_2,Dark,Fast,2.5mm,Experiment_2,,
Dark_Fast_2.5mm,Unpolarized_A_IR,C4,PI,-242.5163656321989,22.471420814071877,Day_2,Dark,Fast,2.5mm,Experiment_2,,
Dark_Fast_2.5mm,Unpolarized_B_Green,C11,PI,,,Day_2,Dark,Fast,2.5mm,Experiment_2,,
Dark_Fast_2.5mm,Unpolarized_B_Red,C8,PI,,,Day_2,Dark,Fast,2.5mm,Experiment_2,,
Dark_Fast_2.5mm,Unpolarized_B_IR,C10,PI,,,Day_2,Dark,Fast,2.5mm,Experiment_2,,
Dark_Fast_2.5mm,Co-Polarized_Green,C13,PI,-233.45742676466423,52.36334520194634,Day_2,Dark,Fast,2.5mm,Experiment_2,,
Dark_Fast_2.5mm,Co-Polarized_Red,C12,PI,-216.1000073460939,28.696977021605292,Day_2,Dark,Fast,2.5mm,Experiment_2,,
Dark_Fast_2.5mm,Co-Polarized_IR,C15,PI,-211.12991793645594,112.24674168917228,Day_2,Dark,Fast,2.5mm,Experiment_2,,
Dark_Fast_2.5mm,Cross-Polarized_Green,C19,PI,-252.35866163120596,66.5323614510341,Day_2,Dark,Fast,2.5mm,Experiment_2,,
Dark_Fast_2.5mm,Cross-Polarized_Red,C18,PI,-236.34453152864955,120.07505537576294,Day_2,Dark,Fast,2.5mm,Experiment_2,,
Dark_Fast_2.5mm,Cross-Polarized_IR,C21,PI,-190.475482696443,71.32829656420073,Day_2,Dark,Fast,2.5mm,Experiment_2,,
