Participant,Channel,Hardware Channel,Metric,Mean,Std,Day,SkinTone,Speed,Depth,Experiment,Mean PI,Std PI
Medium_Fast_2.5mm,Unpolarized_A_Green,C5,PI,-179.41186426367244,61.869825497577146,Day_2,Medium,Fast,2.5mm,Experiment_2,,
Medium_Fast_2.5mm,Unpolarized_A_Red,C2,PI,-221.1923898593124,71.85318816570617,Day_2,Medium,Fast,2.5mm,Experiment_2,,
Medium_Fast_2.5mm,Unpolarized_A_IR,C4,PI,-211.22839810326585,86.07550125174508,Day_2,Medium,Fast,2.5mm,Experiment_2,,
Medium_Fast_2.5mm,Unpolarized_B_Green,C11,PI,,,Day_2,Medium,Fast,2.5mm,Experiment_2,,
Medium_Fast_2.5mm,Unpolarized_B_Red,C8,PI,-218.77974541283,36.49846801883517,Day_2,Medium,Fast,2.5mm,Experiment_2,,
Medium_Fast_2.5mm,Unpolarized_B_IR,C10,PI,-347.5700538631694,0.0,Day_2,Medium,Fast,2.5mm,Experiment_2,,
Medium_Fast_2.5mm,Co-Polarized_Green,C13,PI,-255.43858757587503,202.7920572191929,Day_2,Medium,Fast,2.5mm,Experiment_2,,
Medium_Fast_2.5mm,Co-Polarized_Red,C12,PI,-190.8886075027344,100.47860769710512,Day_2,Medium,Fast,2.5mm,Experiment_2,,
Medium_Fast_2.5mm,Co-Polarized_IR,C15,PI,-201.5466298277057,99.67078971524208,Day_2,Medium,Fast,2.5mm,Experiment_2,,
Medium_Fast_2.5mm,Cross-Polarized_Green,C19,PI,-192.8668116518693,51.562160408959826,Day_2,Medium,Fast,2.5mm,Experiment_2,,
Medium_Fast_2.5mm,Cross-Polarized_Red,C18,PI,-244.96634350352016,72.75386852527645,Day_2,Medium,Fast,2.5mm,Experiment_2,,
Medium_Fast_2.5mm,Cross-Polarized_IR,C21,PI,-271.79214202315404,65.75332064782485,Day_2,Medium,Fast,2.5mm,Experiment_2,,
Medium_Intermediate_2.5mm,Unpolarized_A_Green,C5,PI,,,Day_2,Medium,Intermediate,2.5mm,Experiment_2,,
Medium_Intermediate_2.5mm,Unpolarized_A_Red,C2,PI,,,Day_2,Medium,Intermediate,2.5mm,Experiment_2,,
