Channel,Hardware Channel,WindowStartIdx,WindowEndIdx,WindowStartSec,WindowEndSec,Mean,Std,Skewness,Day,Experiment,Wavelength,SkinTone,Orientation,Pol
Unpolarized_A_Green,C5,0,250,0.0,10.0,4.547473508864641e-16,49.4097068063564,0.6469576114853961,Day_4,Experiment_3,IR,Dark,90,Un. Pol
Unpolarized_A_Green,C5,25,275,1.0,11.0,4.547473508864641e-16,49.53683993509379,0.6217739197733194,Day_4,Experiment_3,IR,Dark,90,Un. Pol
Unpolarized_A_Green,C5,50,300,2.0,12.0,-5.968558980384842e-16,50.0822909789304,0.5895407086540926,Day_4,Experiment_3,IR,Dark,90,Un. Pol
Unpolarized_A_Green,C5,75,325,3.0,13.0,3.979039320256561e-16,50.03687987647176,0.5353863753044676,Day_4,Experiment_3,IR,Dark,90,Un. Pol
Unpolarized_A_Green,C5,100,350,4.0,14.0,-6.593836587853731e-15,48.807364670348335,1.9807267374816877,Day_4,Experiment_3,IR,Dark,90,Un. Pol
Unpolarized_A_Green,C5,125,375,5.0,15.0,-6.821210263296962e-16,22.624958021322847,-0.4355297032572434,Day_4,Experiment_3,IR,Dark,90,Un. Pol
Unpolarized_A_Green,C5,150,400,6.0,16.0,4.547473508864641e-16,23.667525038332037,0.4257731026238875,Day_4,Experiment_3,IR,Dark,90,Un. Pol
Unpolarized_A_Green,C5,175,425,7.0,17.0,-1.1368683772161603e-16,22.765099630692852,0.4781239209060313,Day_4,Experiment_3,IR,Dark,90,Un. Pol
Unpolarized_A_Green,C5,200,450,8.0,18.0,2.1316282072803002e-16,23.14005621517566,0.5106349220225982,Day_4,Experiment_3,IR,Dark,90,Un. Pol
Unpolarized_A_Green,C5,225,475,9.0,19.0,2.2737367544323206e-16,23.582766272803426,0.4378884797791037,Day_4,Experiment_3,IR,Dark,90,Un. Pol
Unpolarized_A_Green,C5,250,500,10.0,20.0,0.0,23.888854677927743,0.4824697784541709,Day_4,Experiment_3,IR,Dark,90,Un. Pol
Unpolarized_A_Green,C5,275,525,11.0,21.0,-4.2632564145606006e-17,22.67711839516392,0.5901689620043907,Day_4,Experiment_3,IR,Dark,90,Un. Pol
Unpolarized_A_Green,C5,300,550,12.0,22.0,4.547473508864641e-16,23.327794985430696,0.6284249590447271,Day_4,Experiment_3,IR,Dark,90,Un. Pol
Unpolarized_A_Green,C5,325,575,13.0,23.0,0.0,23.581217181918227,0.5927240864912237,Day_4,Experiment_3,IR,Dark,90,Un. Pol
Unpolarized_A_Green,C5,350,600,14.0,24.0,-2.5579538487363605e-16,21.641803584426395,0.3392172094647669,Day_4,Experiment_3,IR,Dark,90,Un. Pol
Unpolarized_A_Green,C5,375,625,15.0,25.0,5.684341886080802e-17,15.128534884920764,-0.3062734398571206,Day_4,Experiment_3,IR,Dark,90,Un. Pol
Unpolarized_A_Green,C5,400,650,16.0,26.0,2.2737367544323206e-16,13.71563143835388,-0.1144053111236646,Day_4,Experiment_3,IR,Dark,90,Un. Pol
Unpolarized_A_Green,C5,425,675,17.0,27.0,-6.821210263296962e-16,14.118054530353502,-0.0309158648082607,Day_4,Experiment_3,IR,Dark,90,Un. Pol
Unpolarized_A_Green,C5,450,700,18.0,28.0,7.673861546209082e-16,14.179249170311472,-0.1234974159803177,Day_4,Experiment_3,IR,Dark,90,Un. Pol
Unpolarized_A_Green,C5,475,725,19.0,29.0,1.7763568394002506e-16,12.485448482203196,0.0674974842044661,Day_4,Experiment_3,IR,Dark,90,Un. Pol
Unpolarized_A_Green,C5,500,750,20.0,30.0,-1.1368683772161603e-16,12.228728501586437,-0.0756858034526569,Day_4,Experiment_3,IR,Dark,90,Un. Pol
Unpolarized_A_Green,C5,525,775,21.0,31.0,5.3290705182007506e-17,13.14433076489162,0.0511448091323722,Day_4,Experiment_3,IR,Dark,90,Un. Pol
Unpolarized_A_Green,C5,550,800,22.0,32.0,1.5631940186722203e-16,16.082460817595003,-0.290729025080931,Day_4,Experiment_3,IR,Dark,90,Un. Pol
Unpolarized_A_Green,C5,575,825,23.0,33.0,1.70530256582424e-16,16.779917243965915,-0.0522836999753918,Day_4,Experiment_3,IR,Dark,90,Un. Pol
Unpolarized_A_Green,C5,600,850,24.0,34.0,5.684341886080802e-17,15.597314906304014,-0.0059928136348845,Day_4,Experiment_3,IR,Dark,90,Un. Pol
Unpolarized_A_Green,C5,625,875,25.0,35.0,-5.684341886080802e-17,15.60386935410298,0.0288168252214772,Day_4,Experiment_3,IR,Dark,90,Un. Pol
Unpolarized_A_Green,C5,650,900,26.0,36.0,-4.547473508864641e-16,15.86181787758537,-0.0643933358012828,Day_4,Experiment_3,IR,Dark,90,Un. Pol
Unpolarized_A_Green,C5,675,925,27.0,37.0,-5.684341886080802e-17,16.627751684809454,-0.1680434830578291,Day_4,Experiment_3,IR,Dark,90,Un. Pol
Unpolarized_A_Green,C5,700,950,28.0,38.0,-1.1368683772161603e-16,16.740821984285642,-0.0993460624757641,Day_4,Experiment_3,IR,Dark,90,Un. Pol
Unpolarized_A_Green,C5,725,975,29.0,39.0,5.6843418860808095e-16,17.27549182433356,-0.16918183482657,Day_4,Experiment_3,IR,Dark,90,Un. Pol
