Channel,Hardware Channel,WindowStartIdx,WindowEndIdx,WindowStartSec,WindowEndSec,Mean,Std,Skewness,Day,Experiment,Wavelength,SkinTone,Orientation,Pol
Unpolarized_A_Green,C5,0,250,0.0,10.0,-5.6843418860808095e-16,53.45065331254803,0.9213908949320396,Day_4,Experiment_3,IR,Fair,0,Og. Pol
Unpolarized_A_Green,C5,25,275,1.0,11.0,-7.052136652419006e-16,53.13066666515989,0.945248709574415,Day_4,Experiment_3,IR,Fair,0,Og. Pol
Unpolarized_A_Green,C5,50,300,2.0,12.0,5.6843418860808095e-16,52.72587957597621,0.8838923422136101,Day_4,Experiment_3,IR,Fair,0,Og. Pol
Unpolarized_A_Green,C5,75,325,3.0,13.0,-8.86757334228605e-15,63.73248647259893,3.244595695788877,Day_4,Experiment_3,IR,Fair,0,Og. Pol
Unpolarized_A_Green,C5,100,350,4.0,14.0,-3.979039320256561e-16,14.645932940183975,3.011016139161249,Day_4,Experiment_3,IR,Fair,0,Og. Pol
Unpolarized_A_Green,C5,125,375,5.0,15.0,-4.2632564145606006e-17,4.806470928441197,0.0565546792099653,Day_4,Experiment_3,IR,Fair,0,Og. Pol
Unpolarized_A_Green,C5,150,400,6.0,16.0,-1.2789769243681802e-16,4.656202830608148,0.1687875354024624,Day_4,Experiment_3,IR,Fair,0,Og. Pol
Unpolarized_A_Green,C5,175,425,7.0,17.0,-4.7961634663806756e-17,4.227526447008888,0.1648419904715295,Day_4,Experiment_3,IR,Fair,0,Og. Pol
Unpolarized_A_Green,C5,200,450,8.0,18.0,3.410605131648481e-16,4.727560420989092,0.0301591033651874,Day_4,Experiment_3,IR,Fair,0,Og. Pol
Unpolarized_A_Green,C5,225,475,9.0,19.0,-9.947598300641404e-17,4.808100185319846,0.1615384614958136,Day_4,Experiment_3,IR,Fair,0,Og. Pol
Unpolarized_A_Green,C5,250,500,10.0,20.0,-5.684341886080802e-17,5.4942717859037415,0.2662753531949888,Day_4,Experiment_3,IR,Fair,0,Og. Pol
Unpolarized_A_Green,C5,275,525,11.0,21.0,-5.684341886080802e-17,5.429580645659922,-0.1280485393735537,Day_4,Experiment_3,IR,Fair,0,Og. Pol
Unpolarized_A_Green,C5,300,550,12.0,22.0,1.7763568394002506e-16,5.315647723483074,-0.0534667558032822,Day_4,Experiment_3,IR,Fair,0,Og. Pol
Unpolarized_A_Green,C5,325,575,13.0,23.0,3.552713678800501e-17,5.461932623059413,-0.2707153392030509,Day_4,Experiment_3,IR,Fair,0,Og. Pol
Unpolarized_A_Green,C5,350,600,14.0,24.0,-1.7763568394002505e-17,5.3171129219023685,-0.164002910809334,Day_4,Experiment_3,IR,Fair,0,Og. Pol
