Participant,Channel,Hardware Channel,Metric,Mean,Std,Day,Experiment,Wavelength,SkinTone,Orientation,Pol
IR_Fair_180_OgPol,Unpolarized_A_Green,C5,PI,-196.01506297174166,23.002015174270152,Day_4,Experiment_3,IR,Fair,180,Og. Pol
IR_Fair_180_OgPol,Unpolarized_A_Red,C2,PI,-263.45967663969043,160.44647338736496,Day_4,Experiment_3,IR,Fair,180,Og. Pol
IR_Fair_180_OgPol,Unpolarized_A_IR,C4,PI,-209.63716182966252,50.32652641385208,Day_4,Experiment_3,IR,Fair,180,Og. Pol
IR_Fair_180_OgPol,Unpolarized_B_Green,C11,PI,-167.615034034236,10.806744888435437,Day_4,Experiment_3,IR,Fair,180,Og. Pol
IR_Fair_180_OgPol,Unpolarized_B_Red,C8,PI,-206.57038153462955,34.725583600937085,Day_4,Experiment_3,IR,Fair,180,Og. Pol
IR_Fair_180_OgPol,Unpolarized_B_IR,C10,PI,-204.72374417786838,25.649414100109073,Day_4,Experiment_3,IR,Fair,180,Og. Pol
IR_Fair_180_OgPol,Co-Polarized_Green,C13,PI,-203.54427833047166,35.19629309145345,Day_4,Experiment_3,IR,Fair,180,Og. Pol
IR_Fair_180_OgPol,Co-Polarized_Red,C12,PI,-203.6509518376837,39.827819079068824,Day_4,Experiment_3,IR,Fair,180,Og. Pol
IR_Fair_180_OgPol,Co-Polarized_IR,C15,PI,-201.03557156037493,19.552672131390285,Day_4,Experiment_3,IR,Fair,180,Og. Pol
IR_Fair_180_OgPol,Cross-Polarized_Green,C19,PI,-206.73326385288647,57.9315667667337,Day_4,Experiment_3,IR,Fair,180,Og. Pol
IR_Fair_180_OgPol,Cross-Polarized_Red,C18,PI,-214.21655126928692,60.376656778593066,Day_4,Experiment_3,IR,Fair,180,Og. Pol
IR_Fair_180_OgPol,Cross-Polarized_IR,C21,PI,-201.10943447404054,23.515549336600554,Day_4,Experiment_3,IR,Fair,180,Og. Pol
