feature,importance
Skewness,0.8963832959528769
Std,0.056228057950369933
Channel_Unpolarized_B_Red,0.00408618040409906
Hardware Channel_C8,0.0040233374312091145
Hardware Channel_C5,0.0031769712215971814
Channel_Unpolarized_A_Green,0.002346034268797857
Experiment_Experiment_2,0.0019163691333365664
Hardware Channel_C13,0.00164710530426193
Speed_Fast,0.00163141774160517
Experiment_Experiment_1,0.0015721694724665464
Speed_Medium,0.0015547008060331077
Hardware Channel_C11,0.001423507970590607
SkinTone_Fair,0.0014161646934576645
Depth_5mm,0.0013588527763913102
SkinTone_Dark,0.0013357234546048933
SkinTone_Medium,0.0012959688394536728
Depth_2.5mm,0.0012787807918299102
Speed_Intermediate,0.0011882113028516444
Hardware Channel_C2,0.0011837845187524809
Channel_Co-Polarized_Green,0.0011801642185297247
Channel_Unpolarized_A_Red,0.0011325422134570414
Channel_Co-Polarized_IR,0.001132275988944261
Depth_3.75mm,0.0011306420620015819
Hardware Channel_C21,0.0011198335285201918
Channel_Cross-Polarized_IR,0.0010829715113478034
Hardware Channel_C15,0.00097907496854779
Hardware Channel_C10,0.0009538051804351361
Channel_Unpolarized_B_Green,0.0009062346523153683
Hardware Channel_C18,0.0007315494219396993
Channel_Co-Polarized_Red,0.0007092990454795129
Channel_Unpolarized_B_IR,0.0006973092765949499
Channel_Cross-Polarized_Red,0.0006799307075836911
Channel_Cross-Polarized_Green,0.0006149365343724715
Channel_Unpolarized_A_IR,0.0005787131566139384
Hardware Channel_C19,0.0004767815719780232
Hardware Channel_C12,0.0004625814163928935
Hardware Channel_C4,0.0003847205103605786
Mean,0.0
